"uniprot","main_gene","protein_name","V24_1","V24_2","V24_3","V24_4","I24_1","I24_2","I24_3","I24_4","V36_1","V36_2","V36_3","V36_4","I36_1","I36_2","I36_3","I36_4","veh_pval","INK_pval"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",15245.48241575,16096.9844545541,25162.1404566423,15740.79516806,15132.6907530711,16036.9232844415,13972.8710899954,16655.138862144,17895.1243763704,14431.3290099562,20018.9546611709,17992.7907148344,11470.272965509,11132.0600086222,14083.3124845257,12765.3453826031,0.95,0.15
"A1Z198","Nlrp1b","",8204.97188551621,10678.8342965346,8686.89971300993,15645.1448419986,10410.8206627462,41865.5261456369,11633.933972757,19726.4178156384,27317.3964555687,35529.8975664938,27708.1092566761,32929.1452653219,29857.8672779874,41055.7886923056,24735.3238512901,30181.8427263035,0,0
"A2A432","Cul4b","Cullin-4B",2421459.65758925,2661835.27315845,2814911.90180313,4081381.36580689,2349492.79191511,2427019.47699943,2866608.27392887,3960333.38740071,2469450.44314865,2399451.48589164,2743753.15236573,4165241.64653336,2431456.60054475,2470342.31625649,2743679.26678132,4007820.39094701,0.92,1
"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8",139350.31900843,167614.745682734,159707.075383001,204655.603308645,133006.856648264,200270.783279586,140457.730261171,186589.950940519,168756.968730434,217934.315928308,187220.803337897,213970.180724243,179666.927203957,216084.510749929,178781.681254783,175636.390707072,0.24,0.68
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",1158809.93266307,628190.486291245,805374.410077155,600647.953202674,1134528.25802998,600057.612551375,875777.901671699,669508.15481234,1150524.15403706,634146.609709854,790124.956236975,724830.250392234,1169990.13043066,622089.389601962,976423.028391506,857497.048815481,0.89,0.9
"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2",47748.103739432,33833.7590284479,39298.355604429,41888.5262839092,50513.5260804953,44611.6087374235,42202.4100927457,54412.0822582109,51936.1391064693,34846.5198696436,43322.817940745,50477.8636091229,52868.1271016608,47897.8238072876,54507.3075575797,57474.387215358,0.62,0.9
"A2A690","Tanc2","Protein TANC2",64828.0252897194,45554.6721137434,36884.3002094671,19354.7532423595,37680.6401966561,29280.4892239305,25269.1996680935,20575.0606843672,71374.3103811023,51309.1131982088,36610.5913707707,31070.329057368,31043.4865945617,24162.2502975415,28929.1363285538,20974.5208377209,0.21,1
"A2A699","Fam171a2","Protein FAM171A2",87812.6376103921,81559.9782383908,131630.046034917,119896.781356348,122777.213329432,93413.2534922756,162241.523078493,136694.209466462,93453.5948675533,78088.0024906305,137795.270773136,133143.114430182,124761.13402713,82498.8961458593,142303.682467154,151671.000102621,0.89,1
"A2A6A1","Gpatch8","G patch domain-containing protein 8",216406.341975626,237650.025038144,260509.302032353,291760.565334146,266822.880485263,293460.10373055,286053.311258539,292579.731885522,229634.915965804,227311.275202016,256317.8117909,284442.108100844,262485.372404918,303665.064823389,260697.187304194,301681.168439413,0.95,1
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",440801.834020203,319853.882654717,316473.651070763,405927.350742478,265963.140347233,334531.082270349,239196.459696499,296606.953380803,424889.327703693,349925.477568457,313196.099458108,387659.460536167,278576.812655158,339516.649005436,226887.978274824,269274.360182192,0.96,1
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",362098.168592744,240139.801891038,184246.01961391,187745.34755025,300340.102631133,167958.074799971,117918.881676874,111901.017478906,373659.019869518,245835.486960575,178809.158725454,154943.923972728,292706.796291044,147118.514232069,113990.001735913,113556.969959186,0.89,1
"A2A791","Zmym4","Zinc finger MYM-type protein 4",53897.0670838681,73032.0803025184,72761.2421362429,67970.3850053955,54855.2137775498,91804.2531213707,69347.0988555896,56431.2670148413,67248.6498737526,93539.8859482239,90953.9929075923,69362.7289100155,72087.9032514812,100273.517634918,73081.267298604,66677.591339232,0.18,0.64
"A2A7S8","Kiaa1522","Uncharacterized protein KIAA1522",107614.043015103,130037.252651309,81207.1160995988,98456.6705335373,132260.905646149,156562.371142119,88506.4219725299,94812.4994177892,134712.117960812,140892.299708367,85111.4126654959,111813.88616661,133091.702628729,173533.117048832,86855.4903570456,112913.226076398,0.49,1
"A2A863","Itgb4","Integrin beta-4",62392.9630025163,64122.4715444971,71770.9577227497,60591.7744751715,47877.4110984455,56096.0562301656,57806.0280633685,58333.3975826816,65924.2572283202,62518.8044944422,55706.7335530144,58856.2909988852,55309.3285185061,59925.2789198577,60901.5099579792,67848.4091047301,0.81,0.92
"A2A884","Hivep3","Transcription factor HIVEP3",2619.9430981512,7479.05866483387,33245.6689736817,6602.76023148948,6570.8169931145,11131.1309164506,44668.9255981971,7992.57162685672,2784.00568406234,8185.19107000268,34421.2852222048,5166.86072979655,6951.55240553128,13311.9579789728,61439.352791914,9809.33922303181,0.94,0.32
"A2A8L1","Chd5","Chromodomain-helicase-DNA-binding protein 5",140586.050853627,250445.169659638,164990.489351542,240524.475581655,176398.447144162,351997.859492646,159802.779739183,203590.678360043,212794.702458351,290866.221390482,167872.121938169,271277.130729501,229952.677985956,302198.083833904,157812.618868464,204213.677785231,0.19,1
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",269629.025168782,1707310.88895959,644111.715500544,558751.305664665,291982.922759982,854180.145358205,556502.136666264,474557.190386809,310297.237042787,1655775.75696632,757199.918408586,792286.0225054,336520.989581099,960425.297810983,620874.874474911,565286.739206005,0.28,0.71
"A2A8U2","Tmem201","Transmembrane protein 201",110200.458505051,170112.766829843,145886.72681538,142103.899510782,173945.65910331,380512.00008631,194830.424285284,194254.21330178,146997.034534301,215440.356506429,184638.447429788,165711.696509289,273192.176981359,383687.088798587,249000.807700397,215661.063675329,0.05,0.26
"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9",918081.705765305,760832.935914457,773379.876296382,612883.976045995,873470.693764447,847296.277791963,821951.972168499,728383.6247693,889731.007042948,752806.573782395,705590.776068586,629688.727359332,850060.315269065,831322.025730272,880496.376111236,791091.229947021,0.92,1
"A2A9A2","Dmrta2","Doublesex- and mab-3-related transcription factor A2",8054.4811954598,9891.50419901356,41331.0945872987,37996.6408470918,7708.32868474559,11569.8738010942,36713.9357590109,35503.6502618562,6207.86294792403,8344.0991052393,38115.3833245768,34616.0307986499,8026.35542606091,10699.1217166035,39476.3023833866,29499.6663729008,0.3,1
"A2A9C3","Szt2","Protein SZT2",41783.0632742812,38653.373426467,45070.2719416955,38005.664462758,56878.1317493865,53067.9838826534,56652.6152883,56194.371632766,45758.1974541339,35024.5426310079,46607.7265591483,42439.3677246206,66617.0634334843,56270.3494545921,58062.5167712601,56602.7936853566,0.91,1
"A2AAE1","Kiaa1109","Uncharacterized protein KIAA1109",52321.2694983256,75519.3838671479,71211.3142323656,63189.6734254607,46983.5342196402,92268.7068366835,67417.8011889399,60691.203385455,64817.5598258373,93055.8609288461,82921.1571213756,79094.9875548309,73422.193483411,98591.8565006301,88562.9711513601,73967.4074618114,0.11,0.09
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",1113212.38550695,654638.182132582,692098.773430258,290172.4089769,783969.216747996,812254.903734885,570353.50452939,317816.057587783,1814350.79355065,854263.140132306,886621.520391457,367332.342490413,1136170.62052585,793761.945395837,704968.984408616,333895.814343563,0,0.58
"A2ABV5","Med14","Mediator of RNA polymerase II transcription subunit 14",255106.781158554,327537.564862985,287865.434680959,263615.908071374,266380.367178924,329762.137872048,253551.198070941,250941.884730162,270306.525011992,323304.10150268,303901.516980025,293618.29382087,265558.73754588,320821.586395536,296970.94197767,274915.697833068,0.86,1
"A2ACJ2","Faap100","Fanconi anemia-associated protein of 100 kDa",55369.4080498126,50140.1485560599,61955.3800303859,43694.151778709,63737.0879976454,67212.2582771954,66587.2398452675,50149.3588831023,56489.5180206711,49148.2286201732,52856.6480985501,39286.6503824832,59746.9679415536,76320.5804785589,58924.4269329834,45586.4005014322,0.8,1
"A2ADA5","Pusl1","tRNA pseudouridine synthase-like 1",86870.9907857184,129237.556112466,158227.340052494,161405.413420711,126372.950024372,178134.587455127,197668.392512879,189599.915795123,84594.2615884048,129177.253476647,162489.049144427,143232.988878219,132229.661186752,181771.467605635,211651.367359051,198023.304839866,0.91,1
"A2ADY9","Ddi2","Protein DDI1 homolog 2",627186.597679172,503437.826231674,699753.558120766,479018.637638422,617457.781191186,630255.397863048,761912.020491116,567378.375092918,591411.803411783,521754.359447561,634310.157840344,488548.380406558,650741.341858876,560458.298031526,778292.621389347,518220.688585925,0.92,1
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",457268.679306207,1179263.8444965,459059.429841165,465411.025213844,489217.425014062,980826.720944376,474096.912442968,458504.044495586,443254.366921672,1196444.21739072,416148.553382862,587069.569272103,504906.417913963,861457.751056948,427074.442692785,439502.753238546,0.91,1
"Q8R3R5","Tmem185b","Transmembrane protein 185B;Transmembrane protein 185A",136332.834270157,129756.946648003,146294.602579558,122495.582668204,163843.71248145,131216.468392195,162536.602343748,116832.621932816,149634.311706596,140088.325947366,167435.399983121,148882.139615922,183939.654351148,145329.51302538,203345.440050185,149790.554218996,0.46,0.43
"A2AG58",NA,"Uncharacterized protein CXorf23 homolog",36366.9176519971,75040.3903732633,46358.4005178677,57334.2492196856,50545.1341738052,87499.762438383,52965.8602330018,75948.6594933545,31765.2842828787,74074.696736739,53501.2876800229,68198.5126275497,58212.7840419189,89476.8953525497,60442.64151485,75462.1560510581,0.89,1
"A2AGH6","Med12","Mediator of RNA polymerase II transcription subunit 12",370882.401941938,465992.241907687,417826.035727612,422512.756336891,406303.074643405,519433.42386289,387204.747627419,380802.359174874,444654.521347691,495362.690170642,449586.264810655,443659.737414269,471186.854843003,541611.170319058,456648.99042206,399052.57791706,0.67,0.94
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",1823327.12724716,1640119.89110832,1080396.50092794,1342804.24728216,1305919.98319384,1409119.39699349,998756.524867497,1149068.01826768,2087956.31255272,1878099.11332458,1332001.96289589,1506898.67851988,1549050.9911702,1365455.17100537,1089601.50018052,1213477.80787987,0.32,1
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",106330.414586758,71060.045126319,103913.465036573,93737.3195401325,78035.3250873338,72380.1352416842,63391.704978599,61372.6259844835,96399.6732214766,75794.2161276132,88571.9594614728,71773.6881987674,77447.5522168172,70508.1155580264,77674.0366121789,65274.8061618123,0.52,1
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",165511.432723424,100563.900833112,125066.091876514,130788.28546541,135889.514758132,139958.150819688,113614.195924925,145244.739257134,242840.482024894,111005.805715262,152169.119467536,147447.746559045,186263.418238216,133325.314928497,163436.140144795,179740.429533378,0.11,0.21
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",18251.4719740676,8384.44721653341,12402.2688758849,10655.9877401754,19480.7000687876,11087.1736898228,12760.4424618759,12405.3747857687,16695.4030154465,7930.21669460188,10852.5405829386,8564.21038068412,17295.7995981613,11597.2003223614,13544.2436540202,12312.6660503804,0.46,1
"A2AI08","Tprn","Taperin",155232.825980037,470081.411838268,172322.767623862,213778.478747139,172238.822064573,405376.861488232,160609.908317674,231223.827928008,178816.982380387,555693.537501218,199781.306523294,238050.299781827,173520.196922033,326054.414925101,149411.37763966,239640.180162142,0.36,1
"A2AIL4","Ndufaf6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",26511.7167036317,25780.7324393526,34147.7383963178,35421.300935968,38620.0327298277,39724.8921470259,34589.365049178,57052.7690172272,33533.6985031374,31935.8067022668,39612.5801139473,38931.9819622552,39440.2699735881,40964.5496307644,47658.321596334,54837.645213574,0.2,1
"A2AIV2","Kiaa1429","Protein virilizer homolog",176182.791448617,220089.678360448,216373.350155112,244837.763870082,180570.715461075,279725.543863445,189805.397974037,196274.791560658,191207.390040768,258977.996808764,220990.803209748,230308.507118679,195171.179805313,270917.397734947,192425.188080167,192423.144836077,0.86,1
"A2AIW0","Sdccag3","Serologically defined colon cancer antigen 3 homolog",10451.0344427165,5832.92068048075,7652.22342486484,9730.16477282681,12380.8901495069,6090.97872367284,9203.86943536653,10917.6723306724,11618.4047063091,4420.05068621585,7424.93799813009,10236.2611367183,11932.5270720765,5943.95650922416,7784.42400406392,14947.4858924665,0.9,1
"A2AJ15","Man1b1","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",678081.506931374,662527.971696222,649518.440746628,577348.977552633,757570.137215527,599750.741346615,643967.102408484,446310.899829943,776941.854958011,706159.6880166,720771.61098427,572647.041823497,716906.145869178,608564.540479393,562066.185873281,419311.980283709,0.76,1
"A2AJ88","Pnpla7","Patatin-like phospholipase domain-containing protein 7",14201.3369031413,25762.5949920799,18352.5122914432,15967.2879212807,22651.6239896417,31496.5969512799,22448.5890443367,19819.7824662211,17685.1012124677,26064.3371027979,18289.1559609597,16504.3623030743,24059.7015791238,29587.3964568258,20472.0683752145,20776.8681317048,0.8,1
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",648653.846245742,544181.128241614,573577.664746372,431355.899689734,553002.557313539,681303.837465726,501495.890102046,476285.133173712,904835.412666091,749918.831293904,736066.373366489,581548.138464122,936276.952821009,716548.65331514,730839.905534593,622688.379244843,0,0.01
"A2AJL3","Fggy","FGGY carbohydrate kinase domain-containing protein",1963.75990903472,3155.09139603475,4311.72119414006,1503.15394173056,2947.01206437726,4241.29164045124,6470.30702535195,4330.86549892729,1855.87587456413,3287.92456999359,5114.77351733927,2479.24032810334,3538.2429739234,3734.27184348941,8819.66907138848,5123.59743519345,0.24,0.73
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",107700.256864768,138710.250165363,127541.802910247,125112.431211392,130364.420047553,200851.350423727,155020.759881676,131743.095981087,96303.7722333932,157103.035950578,130627.334337025,118003.390453137,128769.002064612,202058.741289488,121050.03994845,119401.450669023,0.96,1
"A2AKG8","Focad","Focadhesin",61609.3749022283,69336.987635409,87289.2077272985,56752.2260092179,45476.4603306218,56962.7600382046,61343.5077256556,36643.5351003128,54996.3396362119,68240.144299765,71002.4453307876,40485.2527998742,46692.6621050044,50244.0988898602,50250.8602186425,42137.0862638043,0.22,1
"A2AKX3","Setx","Probable helicase senataxin",44373.3104908811,40493.4998952283,46538.6246927372,50274.1723224773,35492.0958158752,55357.0771938376,38835.902828268,43889.7467873233,63370.4139156581,52522.4572722083,56215.6095702006,60436.0882834464,51112.8108321277,53789.0047809144,57148.8647672848,46983.6953259071,0.03,0.29
"A2ALU4","Shroom2","Protein Shroom2",492146.971153989,1347777.21824866,1199439.31117066,1884221.18725212,627370.079253186,1738383.90588484,1135360.86707652,2136238.94542058,387948.267093951,1370365.0718112,1092944.16228492,1948023.66655966,687509.283362335,1718604.00920578,1158009.66214732,2214945.63679276,0.78,1
"A2ALW5","Dnajc25","DnaJ homolog subfamily C member 25",57301.5562139702,87018.5254380631,75440.891052065,86380.3656875073,51891.638948809,55625.7968434115,56257.729800974,45883.8485034986,70151.5727830384,98060.1874003789,89712.1835223694,91098.6960267019,45583.2522492425,56447.4605740543,64384.5529179924,55532.1748611028,0.39,1
"A2AM05","Cntln","Centlein",2527.69423223571,2431.57205522615,2850.48255526429,1500.98825194036,2052.50317804211,1391.03883686452,2065.98879687789,910.277445918896,1996.08307231547,2659.67646241135,2996.76706762714,2087.92606468341,1835.27373661506,1667.08073077635,3217.66190732921,1869.60240304865,0.84,0.01
"A2AM29","Mllt3","Protein AF-9",124425.743699766,159329.229996779,254334.252672352,175933.434643239,147331.644536333,184852.578694472,266968.625838105,136220.418702311,152607.242337182,179811.192791894,265441.503069182,201758.190520825,165499.463505376,206790.64948118,284593.748660032,153935.770692389,0.45,0.92
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",1627334.30900887,1177862.31447997,1664227.9726761,1182725.30536438,1461558.23465203,1049001.89129921,1475309.53825361,1178596.33089225,1702626.14243344,1149436.36381386,1602389.81680377,1342532.95357766,1513195.06452564,1011948.53256363,1535915.73842647,1230305.73965596,0.92,1
"A2APB8","Tpx2","Targeting protein for Xklp2",118400.353539849,61536.2364492891,67856.2989349273,89239.0471305487,18360.509241883,51351.1638992652,16783.0671514491,52284.2043262754,65402.5558531463,52005.6169972795,34889.3372305496,83277.324022727,20516.5863190555,43292.9347012702,18750.9713066231,41699.2306164492,0,1
"A2APV2","Fmnl2","Formin-like protein 2",371035.671008009,198662.757695974,138649.303371938,120266.749598661,685389.895332928,333436.298512826,250800.017862539,178688.793197183,484376.710611853,238460.25827548,168365.807626484,141454.73447209,802023.368248745,340446.929632914,253017.608612062,175444.228354001,0.11,1
"A2APY7","Ndufaf5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5",191825.815504489,248136.767279472,168746.740575137,270076.816888349,231927.54547108,300783.543563071,207718.445135373,279536.550848903,188522.162374432,241782.802900022,173179.243087555,249574.567286741,233950.551340052,295408.824254519,153087.771694404,243428.523694117,0.92,0.86
"A2AQ19","Rtf1","RNA polymerase-associated protein RTF1 homolog",828984.481794906,791345.068803729,848059.083072552,815581.454755082,927748.111596291,919037.789175092,940348.187950933,814822.569181849,860711.368048899,739754.305886971,826334.902683767,790792.681788651,930292.636144095,904071.75980028,916375.258830684,755349.032275779,0.93,1
"A2AQ25","Skt","Sickle tail protein",505443.062635649,263800.926287744,311180.751619334,332944.347234527,435091.726030106,128122.874895558,147487.559815765,212007.431934956,493276.322305996,341934.96284178,429012.863145684,497066.317258016,424849.003998175,104012.530156898,153183.085614342,229235.961331573,0.04,1
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",640894.599775897,732744.625524359,737790.344501109,863361.499707431,888035.703161671,1102579.94488707,890531.864934427,1007111.94431465,703289.896109927,784473.295389143,729762.386884929,790006.712990362,884879.293512402,1060430.4652649,766841.334722533,865485.512350298,0.94,1
"A2AR95","Ldlrad3","Low-density lipoprotein receptor class A domain-containing protein 3",21689.4887123728,65663.3301332583,55370.5578096293,66498.6332902438,11662.6283310081,33569.221655863,35872.0919728435,39413.8175683468,17547.0037896275,71278.0165824021,53469.0082311715,61560.0236649999,12183.51904661,29320.8352770292,37583.6402589072,45182.8595599827,0.83,1
"A2ARP1","Ppip5k1","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1",9999.84862946997,10875.0484988488,7898.08732658166,13035.5151913434,7512.9906680901,15803.8670451506,8948.71265894053,11536.3873285633,11015.1874912642,10718.2828443566,9748.39355311119,11888.7605351213,11045.624587211,12181.3092163453,8493.15108017294,9669.19783007164,0.86,1
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",41602.9721216478,2585163.33696006,323692.103548429,1107468.35070855,42263.8137265986,1904177.2946188,348991.982776953,912284.11637214,38103.3805853135,2503311.76971067,262602.810361371,1232693.81401675,85465.7869626276,1569043.50832658,462408.674441159,799299.307599633,0.85,0.48
"A2AS55","Ankrd16","Ankyrin repeat domain-containing protein 16",5039.77436546146,3202.24871868852,3429.00206396358,2473.19262584341,4999.13603790149,4288.48377943075,3207.07771559808,4325.29148993728,4594.90385473537,2262.61187024383,2688.78324247738,3196.63330077004,5213.85127744299,2890.57869970773,4354.48451373035,4639.48563129857,0.58,1
"A2ASA8","Itpripl1","Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1",33560.1778795719,10714.2847616586,13840.2680816853,15400.6048574455,29572.532100788,12429.9425560573,13315.0179045161,13113.5529001177,38719.0649288092,8335.89529135154,14558.9808275185,12679.6416383997,32277.8299926391,10964.7883957968,11498.9436267832,13456.7183452722,0.81,1
"A2ASQ1","Agrn","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",90503.4676516011,803093.188059934,273248.305550757,368957.597358196,40221.930898776,502381.337457836,151505.845104379,150080.192055966,89021.0511983366,1004064.78172278,276492.467323001,540471.444143535,72130.3806558684,524597.768843445,158929.153359164,181167.92129905,0.31,0.19
"A2ASS6","Ttn","Titin",230602.889220453,159378.695762069,270070.668783322,354474.694213999,307875.472076225,219031.395851683,335539.839802113,452930.035505578,240903.282065608,143755.430755194,265517.454713538,333967.967003039,394290.259547797,239860.336786826,361920.570278151,473597.845026321,0.91,0.86
"A2ASZ8","Slc25a25","Calcium-binding mitochondrial carrier protein SCaMC-2",33542.9351096389,32779.3137983647,18907.4130403834,33558.8266624714,36097.7068836938,42879.0305029801,18004.1745814879,32475.5698780343,28659.051278856,35392.0734931795,23152.9093864163,33285.7786075456,36138.2764501888,41225.743806941,22691.5210823378,34940.606141288,0.92,1
"A2AT37","Upf2","",598937.19293896,606466.771035035,601379.615090707,586408.687681464,743194.776378162,755450.555588868,736682.743311851,697266.71958258,864365.195694878,666412.209730409,702761.577316319,695100.980596947,921847.128683566,812242.327860934,729287.650267035,727032.536962502,0.12,1
"A2ATU0","Dhtkd1","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",66902.9052716556,93886.0225190585,77951.6983724832,122766.291138189,105190.470211777,141094.403658936,87673.2569882817,169575.288498519,99871.2889900973,117831.378869877,86070.3021754922,140069.464465105,121140.559970826,150553.396548912,115866.32433126,182032.65188787,0.07,0.68
"A2AUU0","Mettl8","Methyltransferase-like protein 8",13338.240474829,19733.5426327378,14766.9997598299,22271.1858256643,21293.7403010463,25139.3867229367,11586.2005622012,30650.0819338067,14970.1442398254,23200.3856745814,12364.9277011804,21892.1784153464,20379.1594225085,26831.4400979214,13663.9312367993,29123.5771961757,0.93,1
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",98350.8438344365,14317.8657629829,114992.5090496,6233.87455869288,73482.4953269688,9648.19655398777,93409.9450569071,4336.57899422625,136889.070390306,18600.5072277151,107101.312497709,3839.94881014143,94492.2353949243,10866.3933294289,102549.60808852,6052.29043475907,0.95,0.28
"A2AVZ9","Slc43a3","Solute carrier family 43 member 3",116973.035362063,86729.9751405423,105592.395507725,66729.6378512976,183794.74097869,134865.747583938,172847.019023819,76285.88703725,131758.367527842,96353.7941117251,129450.083849504,88239.7345229252,207352.200181077,141840.960672336,145721.367310639,99582.6491262016,0.18,1
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",1625035.2730178,830282.87038061,1127444.49605176,864669.923979025,1297069.71706706,818334.271115675,1092834.73767219,852600.415111629,1525209.31447907,862302.877742309,1013289.87526642,819470.718316226,1419120.10716205,848290.702175717,1078204.67861081,924946.03474347,0.88,1
"A2AWL7","Mga","MAX gene-associated protein",18456.4693499375,21084.7824545567,24537.0471343319,29641.6751017887,18182.2395956149,80411.8669900567,24807.4874059893,35041.0075156855,51248.529021911,51538.819987066,56468.1487876848,54109.0394572188,46099.2277790056,79727.7332766981,50757.3856217406,44405.9746182806,0,0
"A2AWT3","Atxn7l3","Ataxin-7-like protein 3",45149.2351378656,42944.5285653122,56913.8458754851,39059.6227725662,43892.2626939272,50241.4512723216,37563.5904669056,37350.0407397963,53693.0452081579,47985.7481922778,63206.0090376293,54704.4108219228,48461.7210641922,46629.4219517451,55792.6838493124,43509.6745000271,0.17,0.65
"A2BDX3","Mocs3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase",553636.60459835,394390.546651451,517025.215768915,429767.743332488,530965.394657843,543759.187202395,498762.067497482,483991.200602398,526726.586949501,433358.264806962,487229.798544669,416897.499832523,515750.649386951,530107.892560047,461700.628178764,440175.321474295,0.94,1
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",861774.482617471,1320406.16145525,1278453.38362659,980506.078285598,1270518.9186867,1694924.30823772,1449273.13249586,1174847.80984647,890891.408998758,1301370.99701515,1330767.7486751,979317.122668282,1201710.75682457,1660372.01992805,1520257.02300811,1233448.96671691,0.94,1
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",1076332.01648362,1535747.12634793,1932761.99323159,1180379.16529118,1291000.96315155,1746014.21692212,2225939.1162497,1260074.40730369,1160689.65877391,1407610.38686163,2074714.10514354,1227879.75512723,1493955.29900905,1826749.13215013,2260846.18092491,1313992.44441847,0.92,1
"A2CE44","Zxdb","Zinc finger X-linked protein ZXDB",4663.21133521025,4317.37183342722,5284.26756936963,6204.81878061156,3997.5388388304,4285.74657705404,4369.77676634328,4001.16307129463,4930.94129159299,5627.16018212214,6200.31230158506,6344.24189369024,5896.36358512894,6157.92122825131,5405.25233318765,5282.8176705953,0.45,0.01
"A2CG49","Kalrn","Kalirin",61539.4458908334,82192.3156046721,89887.281490285,70209.1440521712,82444.0219422055,78940.5439704767,101706.879691712,87017.2478452629,75223.7760427717,86993.2424657925,80173.606386792,71783.512808746,91851.1403103741,74785.6174432197,79721.9242634141,75991.9751102401,0.89,1
"A2CG63","Arid4b","AT-rich interactive domain-containing protein 4B",196577.15655269,530594.531375491,335017.770116541,314121.084954905,154222.208877902,542656.109628527,275482.530520891,191899.194503502,208613.419377913,552600.699665533,351039.006258557,287183.174284877,202704.67240694,547988.959620904,237386.125742261,168485.205996351,0.94,1
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",819424.323798727,485926.945319268,498187.046753613,710772.158792564,581702.706038972,351914.921329197,398964.524228005,556495.122539927,781717.724164567,496035.402909438,460827.108175364,726785.347777978,592647.244682157,373999.647264366,458636.966466477,593767.945107629,0.93,1
"A2RSQ0","Dennd5b","DENN domain-containing protein 5B",44952.8591469621,12734.9612737258,19663.4060265463,40414.0674840577,44218.4582168859,18881.702290732,17232.6290908664,45876.8809922611,45381.3065709659,13050.6271326464,17777.4317571101,41542.3808335731,41084.3953904604,16992.8279617353,18068.7959653539,46779.1796787099,0.95,1
"A2RSX7","Tyw5","tRNA wybutosine-synthesizing protein 5",126274.551809247,84462.7942314502,104454.137561181,77094.1628054559,124600.36815155,120368.156613104,110099.281147628,100346.09684262,136620.547623673,83842.9779328932,91148.618996255,70517.1205825026,148446.034979307,108449.253149486,112456.809252342,104938.488423943,0.9,1
"A2RSY1","Kansl3","KAT8 regulatory NSL complex subunit 3",24157.1206761159,28524.4335540649,28920.2887768148,31925.5522268953,32472.8907429089,46796.1999626624,33595.6422294237,31979.4830779236,27490.9772439997,30675.7008891071,30462.3057601408,29291.0921902409,30669.9353030383,44993.380348228,31015.1495477642,26249.3774295252,0.89,0.97
"A2RSY6","Trmt1l","TRMT1-like protein",691904.460827653,470419.427901078,614422.154061523,747101.235464548,748403.790155642,577407.200113534,632233.362213655,807506.682382464,779396.920252947,506167.11306082,659753.958699652,761623.414762145,778748.249315363,612357.223037574,588631.536987377,778600.676997393,0.78,1
"A2RT67","Dennd3","DENN domain-containing protein 3",13019.2492310687,20525.8193067878,13556.6521433382,7192.00233449012,11649.22575863,23551.9502745285,13614.4365707303,10085.6120026047,13393.5319957336,25256.2614348537,14541.8917075384,9876.68041150105,13992.5567393388,20582.4588829568,11661.2498821059,7956.61921965279,0.28,1
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",229223.467625814,320018.768539014,304474.515217612,316467.225028108,292387.50635435,411937.270217024,340799.19376518,327500.898207922,233806.608947433,326035.971527303,272932.233993806,294875.843898132,280026.041746018,386146.965457785,283626.993186377,282272.770779222,0.9,0.88
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6",1034.56619597927,459.108260263797,500.567875168966,1412.73724666464,1082.93124355155,1660.33911432818,836.289331750623,1364.68463122998,4051.43323622643,2623.9898719996,3862.61581328719,3759.48535036004,4161.66135007787,1386.83375726369,2860.77922556206,3943.30860980271,0,0
