"uniprot","main_gene","protein_name","V24_1","V24_2","V24_3","V24_4","I24_1","I24_2","I24_3","I24_4","V36_1","V36_2","V36_3","V36_4","I36_1","I36_2","I36_3","I36_4","veh_pval","INK_pval"
"Q8CGB3","Uaca","Uveal autoantigen with coiled-coil domains and ankyrin repeats",1527134.65706495,2930929.03633215,1827378.27834739,1019036.91718013,2618161.58504967,3307573.95833433,2481182.6806949,1492858.9577489,1602505.51087433,3197026.27205954,2035504.06874468,1254013.21767034,2522033.41872351,3410104.65013021,2728020.55136296,1641203.75405162,0.54,1
"Q8CGB6","Tns2","Tensin-2",1164749.10897333,1035895.56809973,573644.063126587,490758.361620104,1706584.17399075,1206086.77287106,774565.713689385,645344.825840655,1137098.01570538,1148698.02056396,561662.410013691,542790.052098488,1638628.34101043,1240940.68701982,734461.83449223,704220.120476479,0.89,1
"Q8CGC4","Lsm14b","Protein LSM14 homolog B",405961.859438939,232959.021629877,365266.975045946,313922.565410249,253180.827412689,237534.900117089,269068.895902564,205917.827113372,434479.426512037,234588.058120458,324617.327978163,311066.801142889,290145.658673576,232588.046881635,246509.029507737,216951.296617379,0.94,1
"Q8CGC6","Rbm28","RNA-binding protein 28",485441.449513383,692067.277868139,755006.495942586,1214217.7240393,330962.023429811,558439.242132815,487227.939746796,1113770.60633846,601184.114097486,582839.957655812,746063.508554866,1804191.37647275,343692.17491001,514856.657273024,720668.548649801,1308488.36559121,0.58,0.78
"Q8CGC7","Eprs","Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase",9928961.68641214,12002867.9474444,8814954.1025228,9538864.12070409,7750810.20909239,10285991.0309083,7309547.34045144,7876492.7535556,9516255.04752002,11500926.6892488,8189675.93181221,9459232.73350972,7648931.19472571,9270604.25306233,7313300.91408559,7798634.58174718,0.89,1
"Q8CGE9","Rgs12","Regulator of G-protein signaling 12",40011.8476294982,40825.744952088,51905.5109106918,40883.2954986983,31079.6059898064,57069.7502690534,37705.9228183814,36991.9106621883,47520.8576151075,48729.8341118975,59345.7667132282,51494.7107419095,40996.9419108396,53798.8442875512,48529.7631500511,49102.9715626351,0.18,0.33
"Q8CGF1","Arhgap29","Rho GTPase-activating protein 29",560208.015806144,750610.011088005,787911.636080593,934485.638388152,747367.044695076,881632.677459726,960309.432365212,1136707.65333234,548544.061738484,760534.566464664,767396.426663398,1090826.44592556,785494.660600401,889545.070001965,934008.334019179,1135844.21723911,0.91,1
"Q8CGF6","Wdr47","WD repeat-containing protein 47",7266.00755014277,4824.23128329013,7753.24381762061,6220.79031597694,6935.95344009279,6518.77360875266,8244.34143418976,6749.98540059078,7473.56400134269,4242.11004310574,6586.90635678666,8585.72666031112,6796.63481306002,5423.71487096543,7487.99744711447,5548.68794493074,0.94,0.79
"Q8CGF7","Tcerg1","Transcription elongation regulator 1",1166377.59280033,1410104.08251315,1340867.86102874,1449373.14829958,1388353.89054619,1975421.17702124,1545173.89370359,1545393.99247973,1046951.08690694,1407036.11988948,1175541.57552223,1307066.11155486,1352655.46265019,1959045.77138478,1515899.81523953,1669753.58936506,0.7,1
"Q8CGI1","Fam193a","Protein FAM193A",58978.8945557847,47891.929523662,56294.4438429074,52144.7678500735,50532.4909364812,51999.7403374341,45111.5444960789,54343.8006480833,54503.408557463,54245.2581886376,57073.863151425,58029.0588386859,54668.4194464275,51330.0226223204,54198.2181314956,54151.3510954626,0.89,1
