uniprot,Mean Diff.,Discovery?,q value,Individual P Value
P61211,0.07103,No,1.00,0.58
P61222,-0.007779,No,1.00,0.95
P61226,-0.09364,No,1.00,0.46
P61255,0.03093,No,1.00,0.81
P61290,0.1231,No,1.00,0.33
P61294,-0.09732,No,1.00,0.44
P61327,0.2121,No,0.62,0.09
P61358,0.05339,No,1.00,0.67
P61406,-0.3772,No,0.06,0.00
P61460,0.002085,No,1.00,0.99
P61514,0.04422,No,1.00,0.73
P61588,-0.1673,No,0.85,0.19
P61600,-0.001159,No,1.00,0.99
P61620,0.1053,No,1.00,0.41
P61622,-0.01075,No,1.00,0.93
P61750,0.1866,No,0.76,0.14
P61759,0.09462,No,1.00,0.46
P61793,0.002009,No,1.00,0.99
P61804,0.1142,No,1.00,0.37
P61807,-0.0675,No,1.00,0.59
P61922,0.0833,No,1.00,0.51
P61924,0.1011,No,1.00,0.42
P61957,-0.1574,No,0.89,0.21
P61961,0.05589,No,1.00,0.66
P61963,-0.06325,No,1.00,0.62
P61965,0.07349,No,1.00,0.56
P61967,0.09885,No,1.00,0.44
P61969,-0.459,Yes,0.01,0.00
P61971,-0.01886,No,1.00,0.88
P61979,0.03156,No,1.00,0.80
P61982,0.008148,No,1.00,0.95
P62046,0.09799,No,1.00,0.44
P62069,-0.1847,No,0.77,0.14
P62071,-0.1199,No,1.00,0.34
P62073,-0.1029,No,1.00,0.42
P62075,0.02834,No,1.00,0.82
P62077,-0.009164,No,1.00,0.94
P62082,0.02423,No,1.00,0.85
P62137,0.00239,No,1.00,0.99
P62141,-0.02229,No,1.00,0.86
P62192,0.06446,No,1.00,0.61
P62196,0.0899,No,1.00,0.48
P62242,0.2593,No,0.39,0.04
P62245,-0.03676,No,1.00,0.77
P62254,-0.0294,No,1.00,0.82
P62257,0.1226,No,1.00,0.33
P62259,-0.004103,No,1.00,0.97
P62264,-0.09371,No,1.00,0.46
P62267,-0.1116,No,1.00,0.38
P62270,-0.003377,No,1.00,0.98
P62274,0.2185,No,0.59,0.08
P62281,-0.06912,No,1.00,0.59
P62301,-0.05531,No,1.00,0.66
P62305,0.06166,No,1.00,0.63
P62307,0.2624,No,0.38,0.04
P62309,-0.6357,Yes,0.00,0.00
P62311,0.0042,No,1.00,0.97
P62313,0.02029,No,1.00,0.87
P62315,0.05282,No,1.00,0.68
P62317,-0.02798,No,1.00,0.83
P62320,0.1482,No,0.92,0.24
P62331,-0.06879,No,1.00,0.59
P62334,-0.1002,No,1.00,0.43
P62340,-0.1344,No,0.98,0.29
P62342,-0.1231,No,1.00,0.33
P62484,0.2482,No,0.43,0.05
P62488,0.04915,No,1.00,0.70
P62627,0.03942,No,1.00,0.76
P62700,0.1547,No,0.90,0.22
P62702,0.1072,No,1.00,0.40
P62715,0.05725,No,1.00,0.65
P62717,0.114,No,1.00,0.37
P62737,-0.03664,No,1.00,0.77
P62743,0.09557,No,1.00,0.45
P62746,0.07324,No,1.00,0.56
P62748,-0.1484,No,0.92,0.24
P62751,-0.08546,No,1.00,0.50
P62754,-0.1276,No,1.00,0.31
P62774,0.1101,No,1.00,0.38
P62806,-0.2941,No,0.25,0.02
P62814,-0.01743,No,1.00,0.89
P62821,-0.1143,No,1.00,0.37
P62827,0.09534,No,1.00,0.45
P62830,-0.2008,No,0.68,0.11
P62835,0.09058,No,1.00,0.47
P62838,0.2402,No,0.47,0.06
P62843,0.03207,No,1.00,0.80
P62849,0.05214,No,1.00,0.68
P62852,-0.3347,No,0.13,0.01
P62855,0.08306,No,1.00,0.51
P62858,0.00462,No,1.00,0.97
P62862,-0.07684,No,1.00,0.54
P62869,0.1178,No,1.00,0.35
P62874,0.02801,No,1.00,0.83
P62876,0.0701,No,1.00,0.58
P62878,0.2491,No,0.43,0.05
P62880,0.01417,No,1.00,0.91
P62889,-0.1906,No,0.75,0.13
P62892,-0.1311,No,0.99,0.30
P62897,-0.01827,No,1.00,0.89
P62900,-0.2686,No,0.35,0.03
P62908,-0.06043,No,1.00,0.63
P62911,0.01675,No,1.00,0.89
P62915,-0.01419,No,1.00,0.91
P62918,0.2064,No,0.65,0.10
P62960,0.2369,No,0.49,0.06
P62965,-0.06636,No,1.00,0.60
P62983,0.04556,No,1.00,0.72
P62996,-0.01116,No,1.00,0.93
P63001,0.02431,No,1.00,0.85
P63002,-0.2721,No,0.33,0.03
P63005,-0.1235,No,1.00,0.33
P63011,0.001306,No,1.00,0.99
P63013,0.04709,No,1.00,0.71
P63017,-0.07613,No,1.00,0.55
P63024,-0.05656,No,1.00,0.66
P63028,0.1144,No,1.00,0.37
P63034,0.08867,No,1.00,0.48
P63037,0.1757,No,0.81,0.17
P63038,0.03422,No,1.00,0.79
P63042,-0.02684,No,1.00,0.83
P63044,-0.1636,No,0.86,0.20
P63073,-0.05681,No,1.00,0.65
P63082,0.05362,No,1.00,0.67
P63085,0.1018,No,1.00,0.42
P63087,-0.07309,No,1.00,0.56
P63094,0.0004022,No,1.00,1.00
P63101,-0.1861,No,0.76,0.14
P63139,-0.03974,No,1.00,0.75
P63147,-0.0008791,No,1.00,0.99
P63154,-0.1005,No,1.00,0.43
P63158,-0.01591,No,1.00,0.90
P63166,0.0964,No,1.00,0.45
P63168,0.06055,No,1.00,0.63
P63242,-0.1313,No,0.99,0.30
P63248,0.1202,No,1.00,0.34
P63254,-0.1081,No,1.00,0.39
P63260,-0.04431,No,1.00,0.73
Q9Z199,0.09137,No,1.00,0.47
P63276,-0.09068,No,1.00,0.47
P63280,-0.007372,No,1.00,0.95
P63321,-0.04306,No,1.00,0.73
P63323,0.02606,No,1.00,0.84
P63325,0.1448,No,0.94,0.25
P63328,-0.04167,No,1.00,0.74
P63330,0.03319,No,1.00,0.79
P67778,-0.1024,No,1.00,0.42
P67871,0.03752,No,1.00,0.77
P67984,-0.08456,No,1.00,0.50
P68037,0.06312,No,1.00,0.62
P68040,0.08753,No,1.00,0.49
P68134,-0.09425,No,1.00,0.46
P68181,-0.06731,No,1.00,0.60
P68254,0.1058,No,1.00,0.40
P68368,-0.1759,No,0.81,0.17
P68369,0.09801,No,1.00,0.44
P68372,0.07531,No,1.00,0.55
P68373,-0.06413,No,1.00,0.61
P68404,0.06215,No,1.00,0.62
P84228,-0.229,No,0.52,0.07
P68510,0.0575,No,1.00,0.65
P69566,0.1292,No,0.99,0.31
P70121,0.0001767,No,1.00,1.00
P70122,-0.2897,No,0.27,0.02
P70168,0.03255,No,1.00,0.80
P70175,-0.2557,No,0.40,0.04
P70178,-0.1234,No,1.00,0.33
P70180,-0.3053,No,0.21,0.02
P70182,-0.1107,No,1.00,0.38
P70188,-0.216,No,0.60,0.09
P70191,-0.02821,No,1.00,0.82
P70193,-0.1984,No,0.70,0.12
P70195,-0.3142,No,0.18,0.01
P70196,-0.06088,No,1.00,0.63
P70202,0.009147,No,1.00,0.94
P70206,-0.1886,No,0.75,0.14
P70207,0.1901,No,0.75,0.13
P70210,0.02458,No,1.00,0.85
P70213,-0.0766,No,1.00,0.55
P70227,-0.07115,No,1.00,0.57
P70232,-0.1835,No,0.78,0.15
P70245,-0.1649,No,0.86,0.19
P70255,0.06796,No,1.00,0.59
P70261,0.01013,No,1.00,0.94
P70265,0.03351,No,1.00,0.79
P70268,-0.09579,No,1.00,0.45
P70271,0.1228,No,1.00,0.33
P70275,-0.4561,Yes,0.01,0.00
P70279,0.06909,No,1.00,0.59
P70280,0.09143,No,1.00,0.47
Q8C0Y1,0.06181,No,1.00,0.63
P70288,-0.09441,No,1.00,0.46
P70290,-0.04411,No,1.00,0.73
P70295,-0.06919,No,1.00,0.59
P70296,0.1517,No,0.91,0.23
P70297,-0.001896,No,1.00,0.99
P70302,-0.1168,No,1.00,0.36
P70303,-0.08219,No,1.00,0.52
P70312,0.3928,Yes,0.04,0.00
P70318,-0.01134,No,1.00,0.93
P70333,0.09747,No,1.00,0.44
P70335,-0.1229,No,1.00,0.33
P70336,-0.03645,No,1.00,0.77
P70340,-0.06046,No,1.00,0.63
P70345,-0.921,Yes,0.00,0.00
P70349,0.06766,No,1.00,0.59
P70353,-0.04099,No,1.00,0.75
P70362,0.03073,No,1.00,0.81
P70365,0.5645,Yes,0.00,0.00
P70372,-0.01658,No,1.00,0.90
P70380,0.01272,No,1.00,0.92
P70388,0.001728,No,1.00,0.99
P70392,-1.047,Yes,0.00,0.00
P70398,-0.01492,No,1.00,0.91
P70399,-0.002044,No,1.00,0.99
P70403,-0.09053,No,1.00,0.47
P70404,-0.01021,No,1.00,0.94
P70408,-0.09759,No,1.00,0.44
P70424,-0.06639,No,1.00,0.60
P70428,-0.01707,No,1.00,0.89
P70429,-0.1573,No,0.89,0.21
P70441,0.05253,No,1.00,0.68
P70444,-0.00701,No,1.00,0.96
P70445,0.1501,No,0.92,0.24
P70451,0.02078,No,1.00,0.87
P70452,-0.01942,No,1.00,0.88
P70453,-0.03868,No,1.00,0.76
P70459,-0.1224,No,1.00,0.33
P70460,0.002237,No,1.00,0.99
P70662,0.08057,No,1.00,0.52
P70665,-0.0001582,No,1.00,1.00
P70670,0.08816,No,1.00,0.49
P70671,-0.07929,No,1.00,0.53
P70677,0.2772,No,0.31,0.03
Q91WR5,0.2096,No,0.64,0.10
P70697,0.1745,No,0.82,0.17
P70698,0.01597,No,1.00,0.90
P70699,-0.01148,No,1.00,0.93
P70700,-0.03778,No,1.00,0.77
P80313,0.04032,No,1.00,0.75
P80314,0.05144,No,1.00,0.68
P80315,0.04975,No,1.00,0.69
P80316,-0.02256,No,1.00,0.86
P80317,0.04993,No,1.00,0.69
P80318,-0.0324,No,1.00,0.80
P81069,-0.06099,No,1.00,0.63
P81117,0.1352,No,0.97,0.29
P81122,-0.2518,No,0.42,0.05
P81269,0.1277,No,1.00,0.31
P82343,-0.3106,No,0.19,0.01
P82347,0.06572,No,1.00,0.60
P82349,-0.0492,No,1.00,0.70
P83093,0.07581,No,1.00,0.55
P83741,-0.06513,No,1.00,0.61
P83870,-0.2672,No,0.35,0.04
P83877,-0.001485,No,1.00,0.99
P83882,-0.5511,Yes,0.00,0.00
P83887,0.03753,No,1.00,0.77
P83917,-0.08612,No,1.00,0.50
P83940,0.05188,No,1.00,0.68
P84084,0.1498,No,0.92,0.24
P84089,0.1875,No,0.76,0.14
P84091,-0.03978,No,1.00,0.75
P84096,-0.03668,No,1.00,0.77
P84099,0.2076,No,0.65,0.10
P84102,-1.126,Yes,0.00,0.00
P84104,-0.09352,No,1.00,0.46
P85094,-0.3355,No,0.13,0.01
P86448,-0.3326,No,0.13,0.01
P97287,0.003852,No,1.00,0.98
P97298,0.05479,No,1.00,0.67
P97300,-0.1005,No,1.00,0.43
P97302,-0.1926,No,0.73,0.13
P97304,0.01003,No,1.00,0.94
P97305,-0.1091,No,1.00,0.39
P97310,0.1826,No,0.78,0.15
P97311,0.1758,No,0.81,0.17
P97313,-0.00222,No,1.00,0.99
P97314,0.04672,No,1.00,0.71
P97315,-0.02442,No,1.00,0.85
P97329,0.0839,No,1.00,0.51
P97333,-0.2048,No,0.66,0.11
P97346,0.1473,No,0.93,0.25
P97348,-0.09095,No,1.00,0.47
P97351,0.04562,No,1.00,0.72
P97352,0.1484,No,0.92,0.24
P97355,-0.037,No,1.00,0.77
P97360,0.1389,No,0.96,0.27
P97363,-0.03079,No,1.00,0.81
P97364,-0.05675,No,1.00,0.65
P97366,-0.08138,No,1.00,0.52
P97367,-0.024,No,1.00,0.85
P97370,-0.01431,No,1.00,0.91
P97371,-0.03725,No,1.00,0.77
P97372,0.005352,No,1.00,0.97
P97376,-0.1828,No,0.78,0.15
P97377,0.1572,No,0.89,0.21
P97379,0.003921,No,1.00,0.98
P97384,-0.1224,No,1.00,0.33
P97386,-0.1441,No,0.94,0.26
P97390,0.02418,No,1.00,0.85
P97393,-0.2822,No,0.30,0.03
P97401,0.1265,No,1.00,0.32
P97411,-0.04128,No,1.00,0.74
P97412,0.1422,No,0.94,0.26
P97429,-0.1239,No,1.00,0.33
P97432,0.06518,No,1.00,0.61
P97434,-0.03212,No,1.00,0.80
P97447,-0.1189,No,1.00,0.35
P97449,-0.1202,No,1.00,0.34
P97450,0.1833,No,0.78,0.15
P97452,0.08538,No,1.00,0.50
P97454,-0.1332,No,0.98,0.29
P97461,0.03487,No,1.00,0.78
P97464,-0.06435,No,1.00,0.61
P97465,0.06542,No,1.00,0.61
P97467,-0.3076,No,0.20,0.02
P97470,0.03749,No,1.00,0.77
P97471,0.03139,No,1.00,0.80
P97473,-0.05085,No,1.00,0.69
P97478,0.01663,No,1.00,0.90
P97479,0.009346,No,1.00,0.94
P97480,0.1218,No,1.00,0.34
P97494,0.05061,No,1.00,0.69
P97496,0.1248,No,1.00,0.32
P97499,0.02734,No,1.00,0.83
P97501,-0.7231,Yes,0.00,0.00
P97504,0.2404,No,0.47,0.06
P97742,-0.1292,No,0.99,0.31
P97760,0.03216,No,1.00,0.80
P97762,-0.0655,No,1.00,0.61
P97765,0.04196,No,1.00,0.74
P97770,-0.0464,No,1.00,0.71
P97789,-0.4534,Yes,0.01,0.00
P97792,-0.08963,No,1.00,0.48
P97797,-0.05729,No,1.00,0.65
P97798,-0.09617,No,1.00,0.45
P97801,0.02204,No,1.00,0.86
P97807,0.04438,No,1.00,0.73
P97813,-0.1059,No,1.00,0.40
P97814,-0.05669,No,1.00,0.65
P97819,0.2385,No,0.48,0.06
P97820,0.05205,No,1.00,0.68
P97821,0.1213,No,1.00,0.34
P97822,0.1542,No,0.90,0.22
P97823,0.1862,No,0.76,0.14
P97855,0.0612,No,1.00,0.63
P97857,-0.3935,Yes,0.04,0.00
P97863,0.05766,No,1.00,0.65
P97864,0.2196,No,0.58,0.08
P97872,-0.1729,No,0.83,0.17
P97873,-0.2033,No,0.67,0.11
P97875,-0.3122,No,0.19,0.01
P97927,-0.02332,No,1.00,0.85
P97930,0.07998,No,1.00,0.53
P97946,-0.2673,No,0.35,0.03
P98063,0.0535,No,1.00,0.67
P98078,-0.01869,No,1.00,0.88
P98083,0.06394,No,1.00,0.61
P98156,0.02756,No,1.00,0.83
P98192,0.06814,No,1.00,0.59
P98195,0.08974,No,1.00,0.48
P98197,0.03788,No,1.00,0.77
P98199,-0.04955,No,1.00,0.70
P98203,-0.17,No,0.84,0.18
P99024,0.09306,No,1.00,0.46
P99026,0.009751,No,1.00,0.94
P99027,0.08294,No,1.00,0.51
P99028,-0.09914,No,1.00,0.43
P99029,-0.05621,No,1.00,0.66
Q00175,-0.4565,Yes,0.01,0.00
Q00262,0.04658,No,1.00,0.71
Q00420,0.109,No,1.00,0.39
Q00422,0.09753,No,1.00,0.44
Q00493,-0.2241,No,0.55,0.08
Q00519,0.008169,No,1.00,0.95
Q00547,0.06725,No,1.00,0.60
Q00558,0.01463,No,1.00,0.91
Q00560,-0.2029,No,0.67,0.11
Q00609,-0.1588,No,0.88,0.21
Q00612,0.09313,No,1.00,0.46
Q00731,-0.2688,No,0.35,0.03
Q00780,-0.2189,No,0.59,0.08
Q00899,-0.3421,No,0.11,0.01
Q00915,0.01143,No,1.00,0.93
Q00993,-0.1098,No,1.00,0.39
Q00PI9,-0.02173,No,1.00,0.86
Q01063,0.01827,No,1.00,0.89
Q01147,-0.4015,Yes,0.04,0.00
Q01149,-0.43,Yes,0.02,0.00
Q01237,-0.2341,No,0.50,0.06
Q01279,-0.1114,No,1.00,0.38
Q01320,0.03631,No,1.00,0.77
Q01341,-0.1037,No,1.00,0.41
Q01405,0.03053,No,1.00,0.81
Q01705,-0.04947,No,1.00,0.70
Q01721,0.225,No,0.55,0.08
Q01730,-0.06482,No,1.00,0.61
Q01768,-0.0322,No,1.00,0.80
Q01853,-0.02418,No,1.00,0.85
Q01887,-0.01849,No,1.00,0.88
Q01965,0.1017,No,1.00,0.42
Q02053,0.05853,No,1.00,0.64
Q02248,0.07381,No,1.00,0.56
Q02257,0.05616,No,1.00,0.66
Q02357,-0.1007,No,1.00,0.43
Q02395,-0.6539,Yes,0.00,0.00
Q02614,0.002508,No,1.00,0.98
Q02780,-0.2161,No,0.60,0.09
Q02788,-0.4938,Yes,0.00,0.00
Q02819,0.1143,No,1.00,0.37
Q03137,-0.004124,No,1.00,0.97
Q03141,-0.1836,No,0.78,0.15
Q03145,-0.059,No,1.00,0.64
Q03146,-0.1203,No,1.00,0.34
Q03147,-0.1081,No,1.00,0.39
Q03157,-0.5105,Yes,0.00,0.00
Q03173,0.004158,No,1.00,0.97
Q03249,-0.1409,No,0.95,0.27
Q03265,-0.03715,No,1.00,0.77
Q03347,0.1743,No,0.82,0.17
Q03350,0.06569,No,1.00,0.60
Q03958,0.06858,No,1.00,0.59
Q03963,-0.05136,No,1.00,0.69
Q04207,-0.281,No,0.30,0.03
Q04447,-0.05861,No,1.00,0.64
Q04519,-0.1359,No,0.97,0.28
Q04573,-0.1929,No,0.73,0.13
Q04592,-0.2167,No,0.60,0.09
Q04690,-0.05439,No,1.00,0.67
Q04692,0.03927,No,1.00,0.76
Q04735,-0.1882,No,0.76,0.14
Q04736,-0.1224,No,1.00,0.33
Q04750,-0.4447,Yes,0.01,0.00
Q04841,-0.3309,No,0.14,0.01
Q04857,-0.09938,No,1.00,0.43
Q04863,0.1337,No,0.98,0.29
Q04899,0.1174,No,1.00,0.35
Q05186,0.1349,No,0.97,0.29
Q05512,-0.1387,No,0.96,0.27
Q05769,0.2775,No,0.31,0.03
Q05793,-0.02907,No,1.00,0.82
Q05816,0.04379,No,1.00,0.73
Q05895,-0.03732,No,1.00,0.77
Q05909,-0.1447,No,0.94,0.25
Q05920,0.07459,No,1.00,0.56
Q05A36,-0.1062,No,1.00,0.40
Q05AH6,0.138,No,0.96,0.28
Q05BC3,0.07076,No,1.00,0.58
Q05CL8,0.01039,No,1.00,0.93
Q05D44,-0.2559,No,0.40,0.04
Q06138,-0.04376,No,1.00,0.73
Q06180,-0.1606,No,0.88,0.21
Q06185,0.0659,No,1.00,0.60
Q06186,0.04495,No,1.00,0.72
Q06335,-0.2378,No,0.48,0.06
Q06348,0.06344,No,1.00,0.62
Q06649,-0.05632,No,1.00,0.66
Q06890,0.08866,No,1.00,0.48
Q07076,-0.01319,No,1.00,0.92
Q07113,0.1189,No,1.00,0.35
Q07139,0.1181,No,1.00,0.35
Q07231,-0.2365,No,0.49,0.06
Q07235,0.1758,No,0.81,0.17
Q07417,-0.007327,No,1.00,0.95
Q07797,-0.06201,No,1.00,0.62
Q07813,-0.04827,No,1.00,0.70
Q07832,0.09542,No,1.00,0.45
Q08024,0.03379,No,1.00,0.79
Q08091,-0.05689,No,1.00,0.65
Q08093,-0.03349,No,1.00,0.79
Q08122,0.1043,No,1.00,0.41
Q08288,-0.3504,No,0.10,0.01
Q08297,0.5392,Yes,0.00,0.00
Q08376,-0.09252,No,1.00,0.47
Q08509,0.1087,No,1.00,0.39
Q08639,0.2166,No,0.60,0.09
Q08761,0.04106,No,1.00,0.75
Q08879,-0.04483,No,1.00,0.72
Q08943,0.08246,No,1.00,0.52
Q09143,-0.1659,No,0.86,0.19
Q09200,-0.05771,No,1.00,0.65
Q09324,0.2911,No,0.27,0.02
Q09XV5,-0.5919,Yes,0.00,0.00
Q0GNC1,0.1912,No,0.74,0.13
Q0HA38,-0.05821,No,1.00,0.65
Q0KL01,0.004444,No,1.00,0.97
Q0KL02,-0.09169,No,1.00,0.47
Q0P5V9,0.1467,No,0.93,0.25
Q0P5W1,-0.07835,No,1.00,0.54
Q0P678,0.0479,No,1.00,0.71
Q0PHV7,-0.279,No,0.31,0.03
Q0VBD0,0.422,Yes,0.02,0.00
Q0VBL3,-0.1642,No,0.86,0.19
Q0VBN2,0.4909,Yes,0.00,0.00
Q0VEJ0,-0.0684,No,1.00,0.59
Q0VFX2,-0.6693,Yes,0.00,0.00
Q0VG62,-0.2533,No,0.41,0.05
Q0VGB7,0.07283,No,1.00,0.57
Q0VGT2,-0.1103,No,1.00,0.38
Q0VGY8,-0.1958,No,0.71,0.12
Q11011,0.1148,No,1.00,0.37
Q11136,-0.004422,No,1.00,0.97
Q11204,0.08661,No,1.00,0.49
Q148V7,0.03379,No,1.00,0.79
Q148V8,0.1388,No,0.96,0.27
Q149F1,-0.3379,No,0.12,0.01
Q149F3,0.02505,No,1.00,0.84
Q149L6,-0.824,Yes,0.00,0.00
Q14AI0,0.1923,No,0.73,0.13
Q14AI6,0.04141,No,1.00,0.74
Q14AX6,-0.4654,Yes,0.01,0.00
Q14BA6,0.1622,No,0.87,0.20
Q14C51,0.03361,No,1.00,0.79
Q14CH1,-0.03025,No,1.00,0.81
Q14CH7,0.07956,No,1.00,0.53
Q14DQ1,0.2845,No,0.29,0.02
Q1HFZ0,-0.08408,No,1.00,0.51
Q1W617,0.0372,No,1.00,0.77
Q2EMV9,0.01263,No,1.00,0.92
Q2HXL6,0.07096,No,1.00,0.58
Q2KN98,-0.03325,No,1.00,0.79
Q91VK1,0.01687,No,1.00,0.89
Q2MV57,-0.1885,No,0.76,0.14
Q2NL51,-0.03516,No,1.00,0.78
Q2PFD7,0.0575,No,1.00,0.65
Q2PZL6,-0.01593,No,1.00,0.90
Q2TBA3,-0.07262,No,1.00,0.57
Q2TBE6,0.07985,No,1.00,0.53
Q2TPA8,0.01957,No,1.00,0.88
Q2VPQ9,-0.03099,No,1.00,0.81
Q2VPU4,-0.1186,No,1.00,0.35
Q2YDW2,0.01853,No,1.00,0.88
Q31125,-1.115,Yes,0.00,0.00
Q32MD9,-0.2195,No,0.58,0.08
Q32NY4,-0.3196,No,0.17,0.01
Q33DR3,0.0117,No,1.00,0.93
Q3B7Z2,-0.009054,No,1.00,0.94
Q3KNM2,0.04707,No,1.00,0.71
Q3SXD3,0.03088,No,1.00,0.81
Q62293,-0.2693,No,0.35,0.03
Q3T9X0,0.1419,No,0.95,0.26
Q3TAA7,0.07752,No,1.00,0.54
Q3TAP4,0.2415,No,0.46,0.06
Q3TAS6,0.02345,No,1.00,0.85
Q3TB48,-0.05047,No,1.00,0.69
Q3TB82,-0.123,No,1.00,0.33
Q3TBT3,0.1084,No,1.00,0.39
Q3TBW2,-0.04721,No,1.00,0.71
Q3TC33,-0.04707,No,1.00,0.71
Q3TC46,0.08489,No,1.00,0.50
Q3TC72,0.09496,No,1.00,0.45
Q3TC93,-0.1214,No,1.00,0.34
Q3TCH7,-0.1208,No,1.00,0.34
Q3TCJ1,-0.01108,No,1.00,0.93
Q3TCJ8,0.1581,No,0.88,0.21
Q3TCN2,0.04621,No,1.00,0.72
Q3TCT4,0.1372,No,0.97,0.28
Q3TCX3,0.06043,No,1.00,0.63
Q3TDD9,-0.05087,No,1.00,0.69
Q3TDE8,-0.1337,No,0.98,0.29
Q3TDN0,0.1178,No,1.00,0.35
Q3TDN2,-0.001914,No,1.00,0.99
Q3TDQ1,-0.3596,No,0.08,0.00
Q3TEA8,-0.268,No,0.35,0.03
Q3TEW6,0.1344,No,0.98,0.29
Q3TFD2,0.1951,No,0.72,0.12
Q3TFK5,-0.06193,No,1.00,0.63
Q3TFQ1,-0.05448,No,1.00,0.67
Q3TGF2,-0.1395,No,0.95,0.27
Q3TH73,0.1983,No,0.70,0.12
Q3THE2,-0.0647,No,1.00,0.61
Q3THG9,0.1678,No,0.85,0.19
Q3THJ3,0.0828,No,1.00,0.51
Q3THK3,0.06126,No,1.00,0.63
Q3THK7,0.07115,No,1.00,0.57
Q3THS6,0.03402,No,1.00,0.79
Q3TIR1,-0.1585,No,0.88,0.21
Q3TIR3,0.03265,No,1.00,0.80
Q3TIU4,0.05098,No,1.00,0.69
Q3TIV5,-0.251,No,0.42,0.05
Q3TIX9,-0.02406,No,1.00,0.85
Q3TJ91,-0.2581,No,0.39,0.04
Q3TJD7,-0.02609,No,1.00,0.84
Q3TJZ6,-0.1453,No,0.94,0.25
Q3TKT4,-0.3205,No,0.16,0.01
Q3TKY6,0.1579,No,0.88,0.21
Q3TL26,0.1476,No,0.93,0.24
Q3TL44,-0.01564,No,1.00,0.90
Q3TLD5,-0.03763,No,1.00,0.77
Q3TLH4,-0.4837,Yes,0.00,0.00
Q3TLI0,-0.02299,No,1.00,0.86
Q3TLP5,0.1551,No,0.90,0.22
Q3TLS3,-0.1435,No,0.94,0.26
Q3TMH2,-0.1016,No,1.00,0.42
Q3TMV7,0.02567,No,1.00,0.84
Q3TMW1,-0.005392,No,1.00,0.97
Q3TMX7,0.1247,No,1.00,0.33
Q3TN34,-0.07172,No,1.00,0.57
Q3TNH5,0.05101,No,1.00,0.69
Q3TNL8,0.02625,No,1.00,0.84
Q3TP92,-0.1359,No,0.97,0.28
Q3TPE9,0.07935,No,1.00,0.53
Q3TPJ7,0.4918,Yes,0.00,0.00
Q3TPX4,-0.04878,No,1.00,0.70
Q3TQB2,0.02031,No,1.00,0.87
Q3TQI7,-0.07515,No,1.00,0.55
Q3TRM4,-0.138,No,0.96,0.28
Q3TSG4,-0.2284,No,0.53,0.07
Q3TT38,-0.4284,Yes,0.02,0.00
Q3TTL0,0.1629,No,0.86,0.20
Q3TUA9,-0.02178,No,1.00,0.86
Q3TUD9,0.02259,No,1.00,0.86
Q3TUF7,0.0463,No,1.00,0.71
Q3TUH1,-0.06068,No,1.00,0.63
Q3TV70,-0.03197,No,1.00,0.80
Q3TVA9,0.3659,No,0.07,0.00
Q3TVI4,-0.1259,No,1.00,0.32
Q3TVI8,0.1639,No,0.86,0.20
Q3TVW5,0.2085,No,0.64,0.10
Q3TW96,-0.03692,No,1.00,0.77
Q3TWF6,0.1286,No,1.00,0.31
Q3TWI9,0.1191,No,1.00,0.35
Q3TWL2,0.06129,No,1.00,0.63
Q3TWN3,-0.2417,No,0.46,0.06
Q3TWW8,0.1162,No,1.00,0.36
Q3TX08,-0.2358,No,0.49,0.06
Q3TXS7,-0.03983,No,1.00,0.75
Q3TXT3,-0.06226,No,1.00,0.62
Q3TXU5,-0.01482,No,1.00,0.91
Q3TXX3,0.03819,No,1.00,0.76
Q3TY60,-0.4081,Yes,0.03,0.00
Q3TYA6,-0.2976,No,0.24,0.02
Q3TYD6,-0.2337,No,0.50,0.07
Q3TYS2,-0.02139,No,1.00,0.87
Q3TYX2,-0.04155,No,1.00,0.74
Q3TYX3,0.04362,No,1.00,0.73
Q3TZM9,-0.0357,No,1.00,0.78
Q3TZW0,0.2071,No,0.65,0.10
Q3TZX8,-0.04233,No,1.00,0.74
Q3TZZ7,-0.1074,No,1.00,0.40
Q3U0J8,0.1104,No,1.00,0.38
Q3U0K8,-0.1605,No,0.88,0.21
Q3U0M1,0.0868,No,1.00,0.49
Q3U0V1,0.1098,No,1.00,0.39
Q3U0V2,0.1536,No,0.90,0.23
Q3U133,-0.1482,No,0.92,0.24
Q3U182,0.07018,No,1.00,0.58
Q3U186,0.04241,No,1.00,0.74
Q3U1C6,-0.4531,Yes,0.01,0.00
Q3U1F9,0.04252,No,1.00,0.74
Q3U1G5,-0.061,No,1.00,0.63
Q3U1J4,0.06288,No,1.00,0.62
Q3U1N2,-0.1653,No,0.86,0.19
Q3U1T3,-0.06351,No,1.00,0.62
Q3U1T9,-0.2184,No,0.59,0.08
Q3U1V6,0.09692,No,1.00,0.44
Q3U1Z5,0.2021,No,0.68,0.11
Q3U214,-0.3887,Yes,0.05,0.00
Q3U269,-0.07023,No,1.00,0.58
Q3U276,-0.05415,No,1.00,0.67
Q3U2A8,0.01408,No,1.00,0.91
Q3U2C5,-0.1317,No,0.99,0.30
Q3U2E2,-0.3758,No,0.06,0.00
Q3U2I3,0.07162,No,1.00,0.57
Q3U2P1,0.1711,No,0.84,0.18
Q3U2U7,-0.1966,No,0.71,0.12
Q3U308,-0.03049,No,1.00,0.81
Q3U319,0.093,No,1.00,0.46
Q3U3C9,0.04442,No,1.00,0.73
Q3U3E2,-0.7524,Yes,0.00,0.00
