uniprot,Mean Diff.,Discovery?,q value,Individual P Value
Q62311,-0.01837,No,0.94,0.87
Q62312,-0.035,No,0.92,0.76
Q62313,-0.2845,No,0.12,0.01
Q62318,-0.0323,No,0.92,0.78
Q62348,0.09503,No,0.80,0.41
Q62351,0.2941,No,0.10,0.01
Q62356,-0.09641,No,0.80,0.40
Q62371,0.004037,No,0.96,0.97
Q62376,-0.3949,Yes,0.01,0.00
Q62377,0.002239,No,0.96,0.98
Q62383,0.1162,No,0.73,0.31
Q62384,0.2519,No,0.19,0.03
Q62388,0.1289,No,0.68,0.26
Q62392,0.1578,No,0.56,0.17
Q62393,-0.06765,No,0.87,0.56
Q62394,0.2212,No,0.29,0.05
Q62406,-0.01437,No,0.95,0.90
Q62407,-0.2863,No,0.11,0.01
Q62415,0.2978,No,0.09,0.01
Q62418,0.03955,No,0.92,0.73
Q62419,0.01716,No,0.94,0.88
Q62422,0.0974,No,0.79,0.40
Q62425,-0.03603,No,0.92,0.75
Q62426,0.007611,No,0.96,0.95
Q62432,0.09235,No,0.81,0.42
Q62433,-0.1483,No,0.60,0.20
Q62440,0.1656,No,0.52,0.15
Q62446,-0.05165,No,0.90,0.65
Q62465,0.006596,No,0.96,0.95
Q62469,0.09627,No,0.80,0.40
Q62470,0.04035,No,0.92,0.73
Q62481,-0.1286,No,0.68,0.26
Q62504,-0.5,Yes,0.00,0.00
Q62511,-0.6524,Yes,0.00,0.00
Q62523,0.3786,Yes,0.02,0.00
Q62559,-0.01023,No,0.95,0.93
Q63739,0.106,No,0.77,0.36
Q63829,0.07524,No,0.86,0.51
Q63844,0.05176,No,0.90,0.65
Q63850,0.04663,No,0.91,0.69
Q63918,0.04015,No,0.92,0.73
Q63932,0.08665,No,0.83,0.45
Q63943,-0.1655,No,0.52,0.15
Q63961,-0.04086,No,0.92,0.72
Q63ZW7,0.08923,No,0.82,0.44
Q64008,-0.05959,No,0.89,0.60
Q64010,0.05221,No,0.90,0.65
Q64012,-0.1028,No,0.78,0.37
Q64028,-0.09558,No,0.80,0.41
Q64092,-0.03294,No,0.92,0.77
Q640L3,-0.5134,Yes,0.00,0.00
Q640L5,0.09387,No,0.80,0.41
Q640M1,-0.03903,No,0.92,0.73
Q640N1,-1.166,Yes,0.00,0.00
Q640N2,-0.03707,No,0.92,0.75
Q640Q5,0.007865,No,0.96,0.95
Q64105,-0.04855,No,0.91,0.67
Q64112,-0.5735,Yes,0.00,0.00
