"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"Q9D665","Sdr42e1","Short-chain dehydrogenase/reductase family 42E member 1",887066.527932846,1441473.97865681,1284416.91379283,1358602.53453647,1521212.09709256,1325374.943198,1679800.6571999,1580851.308013,1016641.17036409,675217.101577945,1202262.71634098,1006011.42548242,975306.399576398,993064.422117873,1119411.15942639,1040178.37296346,0.0313165056348466,7.9,249812
"Q9D6L8","Ppil3","Peptidyl-prolyl cis-trans isomerase-like 3",516925.20354016,546002.100674858,509593.025892153,499837.590218463,542854.111596461,579062.267999654,577090.084360943,511826.84537264,479589.273977252,489851.164406734,479820.983149482,445363.525787428,510095.51019919,444467.036810315,592948.229718031,446959.95035085,0.0436840271864044,7.34,30193
"Q9D6T0","Nosip","Nitric oxide synthase-interacting protein",324113.967596878,275874.706359859,307299.80884243,281857.099899317,290563.180357614,336673.157393076,388697.450211701,344831.655273497,294876.825852611,389472.237864452,330084.706757876,388012.84917578,282390.70271673,246282.042796877,281996.160061354,306065.893750848,0.0380528357368757,12.78,36070
"Q9D6Z0","Alkbh7","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial",67124.3110703164,73782.0588547768,57311.7689808589,56463.0586501597,72492.5168497171,59247.6995398063,63928.4664602259,52786.2460676127,39880.7982044825,49254.2592468004,52412.3804376191,48567.4826104108,64633.8962283884,55689.1738873969,41903.4272439913,45798.9063092309,0.0380528357368757,5.94,6801
"Q9D8U8","Snx5","Sorting nexin-5",4315077.95183489,4688290.73560271,4232745.41620949,4445264.56940142,4205524.64482435,4360925.43861769,4145178.86065479,4248757.09146137,4887294.27343152,4793845.31469295,4502657.07952756,4562630.08931924,4736712.57787299,4194840.65742755,4819956.12571013,4672167.42034688,0.0436840271864044,19.69,187586
"Q9DA08","Ccdc101","SAGA-associated factor 29 homolog",83460.5385841858,84856.7262897641,82964.2125598029,95136.3967915356,85996.8355601997,76193.3105059633,77661.8693613589,96214.7784305669,98196.1700105783,90880.9000350796,105532.68898102,100094.478606308,94842.0792148273,85702.0835026149,108649.32404486,97471.0791972047,0.0436840271864044,19.14,6509
"Q9DBM0","Abcg8","ATP-binding cassette sub-family G member 8",331192.752390082,336174.483089297,356835.024243912,271352.820655964,351288.430305702,388119.322952016,596502.910999095,370009.204954581,426664.530874149,594123.319707384,422031.733293436,408510.073772511,293841.052778359,314079.729769992,321789.806123759,366135.048995965,0.0216262025533578,13.58,76478
"Q9DBN5","Lonp2","Lon protease homolog 2, peroxisomal",3390584.75477002,3233459.90693841,2946073.1936136,3546428.45938349,3664977.4843512,4043936.48685601,3742936.58399354,4048374.96590237,3707169.31927187,3090119.51597885,3543343.05333621,3389666.08982128,2690032.01793008,2588031.56542685,2553553.62679421,2926435.54646309,0.00759048104868416,9.18,479058
"Q9DC04","Rgs3","Regulator of G-protein signaling 3",54495.6269906124,50784.3941160673,40404.27493681,45187.1925946205,43685.0319552441,57390.7103349994,42968.273503889,43287.0264682374,75210.0800402367,53580.1857081957,54828.6098294283,67392.4456138328,70574.8470959225,62386.2271504628,70605.8120470542,51357.0307659063,0.0436840271864044,19.23,6773
"Q9DC50","Crot","Peroxisomal carnitine O-octanoyltransferase",5384744.93278783,4887500.68132543,5093441.09046932,6800052.93408963,4735353.4968433,4940337.61792945,5571440.16905888,6592229.91246549,5002874.91240325,3875961.01292703,5319770.85059327,4756683.04158722,3955574.22262786,3947601.8277613,4379413.57841357,4590758.25885497,0.0380528357368757,7.91,444193
"Q9EPK6","Sil1","Nucleotide exchange factor SIL1",791357.78187608,825720.673879071,691053.633847851,823283.321769645,821837.09476361,902215.063009232,770734.553603062,881497.032117823,644128.342595167,662573.947762026,751291.927397751,708420.361274158,735069.310703459,695187.003588196,734039.568258927,762094.857396771,0.0247840195162149,6.94,61390
"Q9EPL8","Ipo7","Importin-7",2593746.61444488,2891482.15959075,2644487.96500301,2585001.42316683,2990683.2485823,3027747.39130961,2811804.41829409,2931278.20027902,3418125.29186238,2901700.7779968,3285704.14740241,3180780.24602607,3124529.7381268,2442357.53579754,3130828.727624,3078398.22057213,0.0247840195162149,15.56,211302
"Q9ESX5","Dkc1","H/ACA ribonucleoprotein complex subunit 4",579510.675683257,576271.268222462,574615.624666387,659224.306482979,520445.439206052,505930.736669777,711291.752265602,746555.315914441,748272.134054489,777171.90291244,811835.881188143,885432.506482105,630836.616875338,570965.225472861,674228.688667067,720767.525905176,0.0436840271864044,16.6,108615
"Q9JHS4","Clpx","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",5989050.43304943,4783454.80280273,6275956.82735414,6157019.29706877,4710926.55083179,4563927.95555628,5174615.29580143,5116846.53204521,3867183.10934483,4622183.42320173,4354105.50113856,4201931.1335548,4345043.52036236,4755312.13126193,4521183.64556806,5266040.84766758,0.0216262025533578,3.48,571902
"Q9JIK5","Ddx21","Nucleolar RNA helicase 2",1829293.76726429,1434695.49245336,1485459.82459623,1624052.21913732,1977132.84929516,1771862.07046988,1634427.48351089,1744372.3842845,1779481.15026765,2116179.02427154,2019073.039146,2123369.1263618,1852937.84419442,1393702.96740776,1963908.29638266,1981474.66174496,0.0341716271686448,15.7,171104
"Q9JJ80","Rpf2","Ribosome production factor 2 homolog",54936.625107217,49790.5002262827,36697.2817706465,55289.7931295281,56590.4817807302,62667.3442902583,36526.5023987266,47465.4687922196,58294.1312265539,67026.8037361102,57984.8089884934,72161.5431646192,59070.7773966637,57680.8778017811,59030.3724485475,64837.9167818794,0.0341716271686448,18.12,6202
"Q9JJH1","Rnase4","Ribonuclease 4",609920.305940026,489081.645284546,539677.759518975,696987.225310219,647220.80355779,673491.291007387,897443.880773356,874839.762434951,604642.351612059,626669.969431843,677595.463124921,756154.425845198,576820.546729476,579594.024839804,430486.157658142,523935.905086801,0.0247840195162149,11.39,113462
"Q9JJK5","Herpud1","Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein",152839.761511906,147095.57465979,151684.648386152,212210.080415258,354869.908929457,380738.741469256,381081.617473196,392501.517955014,733009.035030244,698293.232307528,581837.997879987,535221.130857534,169374.832146324,191913.311866981,189486.487277303,184607.990035593,0.00704351167247589,12.09,240163
"Q9JJY4","Ddx20","Probable ATP-dependent RNA helicase DDX20",108581.805478822,94306.0193829199,110360.588480073,97363.6884519453,107371.504924599,109468.907981863,119119.460629716,113316.299556207,116240.121391246,108701.349394438,104576.774520565,127039.763582614,89827.6538328667,92107.8331906968,95662.939950294,103689.491802969,0.0313165056348466,12.42,9105
"Q9JKB1","Uchl3","Ubiquitin carboxyl-terminal hydrolase isozyme L3;Ubiquitin carboxyl-terminal hydrolase isozyme L4",1506981.07693671,1717254.26235221,1499320.41755923,1542612.28694476,1524982.77499886,1601453.33817455,1601994.8424778,1602829.3836272,1661712.0551965,1646208.05629108,1849630.35631425,1742531.06197445,1725117.66318777,1436628.71451082,1617663.94015984,1602944.37227781,0.0380528357368757,16.07,82733
"Q9JMD3","Stard10","PCTP-like protein",8615311.32020853,8941191.55050296,9094262.5765594,9030104.77247378,8993795.46312674,8732776.38986579,9239182.19580202,9167470.26643513,9321070.36036244,9863391.718303,9175059.07675887,10112082.1131801,8914288.87659893,8468655.18444785,8931301.26813126,8976668.8930241,0.0216262025533578,14.95,360350
