"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"A2APY7","Ndufaf5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5",449498.264855769,429219.888113696,490231.318161894,511339.663847302,450690.159220293,586569.307217595,464642.304714767,486780.870199353,479438.708979367,519936.635813169,514197.015781577,470234.34306337,465315.547209894,737979.297310818,416094.494642643,464812.705515455,0.169240514608877,17.42,12483
"A2AQ07","Tubb1","Tubulin beta-1 chain",260245.996499118,496599.274072013,292219.994377492,213612.386004187,219913.808962283,393819.267774945,204090.585117651,192079.258581988,216204.915388597,195606.974686442,204269.849990127,217581.246147589,302122.687770477,273177.18562595,471959.371723844,253498.321952514,0.0585976261075685,1.64,57591
"A2AQ19","Rtf1","RNA polymerase-associated protein RTF1 homolog",187341.125086086,142131.828485751,77348.5336240148,75562.4489084261,148087.776851641,144036.049767239,85732.6635724721,74554.2581333688,168806.577598629,173364.326740597,84932.9319966551,75977.47507654,140672.806239063,148202.913912171,91554.4777542571,92599.920333392,0.288162133531305,19.63,3881
"A2AQ25","Skt","Sickle tail protein",156645.819116628,189867.158348591,183235.85038175,180323.651439366,200460.74939343,207352.433662775,144789.766600864,171343.517052138,206811.554651538,248850.152976175,185515.651330755,189260.532915626,180231.608546781,194455.752490561,198352.667494132,198449.754574505,0.114972930685014,17.42,13124
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",290964.935222112,243039.60222615,237719.583111411,233369.626397872,251513.143973914,264220.642998145,257996.738985544,294138.355945251,253893.216657023,322939.629110248,319466.39840943,288792.377957383,278737.095693832,254540.885684413,266260.093223224,242417.812482741,0.0664949120775167,15.24,20644
"A2AS89","Agmat","Agmatinase, mitochondrial",3133540.95023969,2791508.75191104,2615159.90694391,2590789.79792566,2744589.48332165,2754806.05868101,2642858.34180999,2790068.26323494,2884432.63479037,2917961.50199135,2811472.51250369,2418000.81255378,3083011.48500698,2807302.83004277,2342854.51862594,2945851.57265734,0.184125796212024,23.71,30152
"A2ASQ1","Agrn","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",496749.882915375,476104.092520466,566788.483874052,546263.181789679,433363.679547038,442070.169599736,601542.883373305,500611.058410533,460236.838441831,447953.01117481,510751.981823549,535526.633566968,428439.175995744,394692.979816595,679255.936933623,465793.073942014,0.169240514608877,4.76,11712
"A2ASS6","Ttn","Titin",356164.089879425,321711.265221937,246408.430233089,254352.106178104,626738.053092693,5552308.00931204,242214.770631044,323635.141300201,309615.062226946,363704.255163302,284071.315556283,846149.989063668,1773292.61986786,11253875.9835326,373019.98967277,348404.782680558,0.0807674488098014,20.42,646710
"A2ASZ8","Slc25a25","Calcium-binding mitochondrial carrier protein SCaMC-2",171328.831932437,52277.6814461328,158874.891955055,188073.751242299,208410.585447529,86618.7568429042,119242.359252032,192676.663063743,234089.792411181,273188.05884514,148610.838206983,203630.935851356,184332.060661516,261402.534589729,162850.842646218,152443.275183277,0.105578694433708,17.6,30508
"A2AT37","Upf2","",1215918.00391938,1209693.16784723,1075185.06898199,1194717.35840553,1201963.47733521,1028543.47331858,1117905.64745058,1175516.17341589,1297201.7110135,1140265.03154619,1131320.71247287,1168582.58003909,1111866.71361209,1146664.86181342,1123970.70235282,1134938.23707618,0.155780990214867,17.66,7554
"A2ATU0","Dhtkd1","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",5837713.91889708,4539917.09632966,5776706.50160966,5723283.239281,5184172.85403663,5265535.51094277,7025802.74618869,5915905.44370239,5463560.02135422,7259817.05490159,5618188.61892755,5906115.55278603,5879747.78222676,5097333.10209679,5000865.21073123,6766827.87281344,0.143901630241577,14.66,264847
"A2AVZ9","Slc43a3","Solute carrier family 43 member 3",75764.1781943703,85820.8010393178,106312.937994372,113687.414801269,70931.4768160472,95542.0854725157,116718.672396916,72517.2013232292,90862.2963133772,68492.0969339046,80826.5612081935,90804.3344638815,82623.8167522827,75918.134787268,91285.7660486791,80922.6349343817,0.184125796212024,5.15,4349
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",697892.376826599,561740.039233245,782102.683873731,762969.044350574,673529.641043173,658562.565010392,743388.48599037,777276.092691277,671121.534897826,763194.617102557,771544.460335298,806474.09711507,586063.504168561,619079.749144892,722164.696968431,724802.774544988,0.114972930685014,13.46,31963
"A2AWP8","Arhgef10l","Rho guanine nucleotide exchange factor 10-like protein",201467.144155112,168068.26945791,138456.092816192,145616.658989466,171979.826788244,171589.546262252,164342.554458439,155492.185071161,174574.572219676,170468.273895866,163278.186519068,133095.564620419,200224.678103123,177538.621859258,141355.227069422,157831.16642318,0.317435108737141,3.02,1989
"A2BDX3","Mocs3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase",344358.8270527,232323.522935825,346795.672554003,367294.506817464,347157.290858492,316753.705943716,392864.226726988,391518.930955178,347740.914246667,343287.745711181,444337.333628465,450197.610963233,299940.079899145,303502.076939972,380938.249529949,406937.263941675,0.0965559619748949,14.93,32423
