"uniprot","main_gene","protein_name","U1_V3_1","U1_V3_2","U1_V9_1","U1_V9_2","U1_V15_1","U1_V15_2","U1_V21_1","U1_V21_2","U1_I3_1","U1_I3_2","U1_I9_1","U1_I9_2","U1_I15_1","U1_I15_2","U1_I21_1","U1_I21_2","U2_V3_1","U2_V3_2","U2_V9_1","U2_V9_2","U2_V15_1","U2_V15_2","U2_V21_1","U2_V21_2","U2_I3_1","U2_I3_2","U2_I9_1","U2_I9_2","U2_I15_1","U2_I15_2","U2_I21_1","U2_I21_2"
"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9",329356.365939924,346240.261160714,302491.294185916,279419.26510925,331651.781066312,298559.112730682,291831.5092857,324133.407801038,306524.933070923,262625.601933948,310313.612730091,319988.243718911,319440.744331894,377606.699133423,292294.78275782,298840.916431214,338772.382293831,279238.714341291,323334.670767629,300475.672196578,318003.757614203,348879.850062263,315244.407715344,326379.671808352,332874.765120693,317737.843150106,359633.996440816,300207.578959134,371865.606218531,315701.845867135,297138.797500787,321300.282752765
"A2A974","Cyp4a12b","",532111.653119022,699314.682598181,664918.425260783,687150.898228809,627085.951930027,617775.898750603,628516.361803804,638086.789778311,533949.199160007,525889.126756668,584371.030733375,606686.626043518,624766.74767687,460967.143144095,513216.013194799,590680.508983055,458760.487433116,598099.215826392,448263.739052167,373656.94838438,406134.408398834,392828.385223845,468587.827952261,667768.346758858,638609.643863207,660320.335472555,704674.973798,442374.524430968,580104.092934513,457706.140957916,436685.091392635,619324.528087567
"A2AAE1","Kiaa1109","Uncharacterized protein KIAA1109",27156.9151193008,28780.1411017752,34402.8981219531,33533.1083211462,38337.1050853537,31130.1657699366,28566.1856599359,32396.5491588054,43473.4671338761,58798.874430635,42930.9019865419,43719.4230580044,35950.4011719564,49222.2469496981,30567.466583223,44369.6576099883,42800.3596695298,33661.9710407313,36954.0084406114,47136.968540519,59573.8246751958,37970.7280463198,36659.0756446938,30037.4187512349,30822.6950843903,40595.1592571653,45375.4528775193,35832.0376299065,41033.7636487176,45519.4035020118,31192.568888833,47255.920582296
"A2ADY9","Ddi2","Protein DDI1 homolog 2",1961718.18260285,2061289.40178298,2422256.68730188,2133743.56041801,2191130.59257646,2451074.21979414,2334242.85457233,2164859.28064494,2297734.53567958,2288831.48522469,2068113.68811756,2117284.02060531,2218980.13423443,2091874.78349336,2330947.29866729,2161981.10871641,1811417.25309454,1929454.9422351,1913116.06245369,1701692.43330723,2030140.47819972,1896573.46658629,2043862.79024132,1919392.65641662,1932551.94484404,1892444.85461176,2223404.1777326,2041229.4343739,1917084.85669324,2089670.41169437,2092497.35264783,2093182.95814894
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",2128831.66673919,2140426.76248375,2137771.56545785,2258404.77023185,2230395.66142411,2331154.91672268,2211900.7908048,2232739.27626011,2089789.97566994,2084238.28870909,2040139.69506112,2001997.04954223,2156420.75764285,2143056.0408522,2156402.77897783,1995811.58985261,2123984.95353246,2244670.0380826,2211986.90696019,2393034.56647507,2161352.33836586,2118225.51255672,2095826.66983851,2230917.82139948,2004086.35784615,2051062.99629532,2222219.60657106,2114107.31191888,2204300.48769514,2179835.53968177,2106891.92062452,2130845.67329295
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",57937.2609932935,64768.5182977566,71494.8119588482,72630.9946239802,66723.0573905944,81784.0590166448,105085.390356305,107784.680512149,78237.1589960327,79751.8982040131,73811.2107594971,69958.5575773852,89622.0258527318,76145.038190734,95804.2018400118,72474.5703710095,76255.9824774257,76451.6202162418,103660.325144839,76961.2922578786,82443.353586368,81023.7368640031,81305.2909777007,88076.2806558077,71506.5709363786,80262.4181000354,75812.3059221113,77174.7804385345,80898.6291897464,80124.2792198473,80922.1643960215,79630.9242571146
"A2AIL4","Ndufaf6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",1219658.40637804,1213566.31428185,1068152.90760884,1124177.41303476,1084920.64322573,733475.33954833,1031176.95339296,1095251.54414662,1137906.75964714,836423.036665078,1111157.09686912,952042.984359641,892451.721723111,1316022.68952357,928378.621581732,993740.040368678,1259769.86094211,1156436.47897442,1146868.7938656,1070617.09913214,1205496.36183368,1120787.93254048,1216794.83031375,1253689.12244218,1229251.45314589,1149818.49339746,1085685.13162328,1135667.07674027,1206087.77913881,1060476.07796761,1062244.64884682,1199802.61290087
"A2AIV2","Kiaa1429","Protein virilizer homolog",53492.0141517114,57207.9922773495,52501.1848298719,52098.2205272985,58991.1861441787,48247.0704829177,49711.240184997,56821.6510456005,58738.6982208405,38869.5554385051,61761.2676093624,49864.3929797564,52006.1431719521,61337.1958769177,58858.5015597163,49810.4240499679,68376.2772503947,66710.4164796847,41874.1254830295,53730.0320151909,67620.1017308435,58631.561807287,63535.2750010336,61794.8400058992,54903.1535158617,67529.8556593204,58014.6190464318,63469.457268222,61047.6160455017,73520.2376823098,68490.9164101004,56865.6829267591
"A2AJ15","Man1b1","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",362714.997332282,409675.160630032,359804.664273841,398320.400286188,400808.277202506,406369.9487679,425940.877900275,422654.543432663,324243.203776633,307969.307787127,290375.552138106,283062.980992277,327905.840268369,270375.964421308,310415.066068566,293277.935294146,317183.754098619,381769.67761666,355536.364468226,310995.651919053,359795.32143084,376742.574057251,381600.422589247,393098.210332276,272739.824090877,340115.109517565,305684.450111557,284219.372680448,347217.835427575,307944.558857143,291469.10089823,277117.29882647
"A2AJ88","Pnpla7","Patatin-like phospholipase domain-containing protein 7",521511.370055058,599569.736146913,565492.462862417,417818.431866875,519329.725883771,650288.801403762,596458.06011502,602079.034058511,505286.579825355,542018.97716854,498647.957897705,487536.5802047,618372.42961644,558806.766110551,488775.41717938,467393.299537045,476347.83012722,443005.350669521,458879.530058828,460875.144400138,436747.827557786,472658.060125212,409602.449814017,468713.501727274,465266.318256903,448810.561397884,416165.273282836,398680.20914806,450703.640124228,441423.112075199,453507.301272826,477177.016336185
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",174226.036930441,185151.986703608,169006.869671214,219381.347604427,153123.125078471,154290.000333281,196273.059940698,155752.55777734,146138.875753045,160066.155517549,129136.482453995,136502.916282151,168376.465275644,157671.120222325,198071.573940347,159379.353969389,257025.697433886,261988.540748801,266241.203404104,261243.956768143,241095.075590303,266732.264258367,225882.190263135,276699.285053425,246841.745460874,201787.682428272,200374.075075306,220322.118377791,209642.289381831,246618.005442301,217069.907927854,276767.029283758
"A2AJL3","Fggy","FGGY carbohydrate kinase domain-containing protein",7257672.82232812,7856313.41784798,7943157.52442325,7878071.72856223,7532455.49131246,7868989.0387118,7736190.2245204,7251062.22010401,7498370.23997892,7887071.5644625,6936974.23615529,7089479.64504147,7781435.58791325,7681517.70506607,7642021.82055899,7284615.41478759,7556007.96604632,8249852.40328366,7348107.85794239,7158099.37561112,7964422.76852657,8032403.73778077,7489641.04962147,7491072.92503694,7109947.07595075,7222322.03023008,7369551.95932374,7434829.97509198,7476914.4961431,7018460.58711395,7733991.68978825,7938887.29218476
"A2AKG8","Focad","Focadhesin",167462.806097399,169271.844002239,157714.130585432,151791.409176703,172043.682751777,167894.12056192,145338.105712799,160206.395184589,156902.323475926,166048.028825435,158274.235556319,151499.904223924,151898.586942772,147316.35508246,154175.250884939,149034.438506027,126624.437160067,139374.844924531,134953.571559945,191021.124420358,125193.543127057,145498.133122254,157049.575809897,128182.342190504,123348.667588891,131255.642123278,117697.640415417,133395.996283663,139816.965224461,129647.897105843,137429.446079737,125279.82525522
"A2AKK5","Acnat1","Acyl-coenzyme A amino acid N-acyltransferase 1",1769324.09066845,1556390.12878033,1425020.93207192,1487163.69594856,1578897.07086049,1136527.83263251,1606739.40131525,1619780.71889509,1770093.00280849,1461331.67356793,1830530.40698305,1586724.01585771,1681305.92461363,1914087.42365935,1798786.62190249,1692645.07948651,1719538.38927248,1793484.53685649,1552951.09381192,1430139.76097593,1358009.30699295,1509335.37932092,1567782.01353749,1812926.88487259,1457901.00539353,1483051.88334907,1897339.41597329,1591537.18030851,1442777.98868678,1487084.23837746,1585603.77304149,1701944.71981729
"A2AKQ0","Slc35d1","",72257.1096389614,83975.4186136471,74833.5285675018,75986.1893411602,108356.627300076,61059.3080641483,80476.8771460309,86052.3295499255,68099.9667816123,91910.4471209546,60555.187544902,70771.4536463842,77336.6104671779,75601.6765512775,89273.6460246228,75813.0184422842,117256.472507653,128940.567368904,182391.304845075,87500.3340435392,115681.629977112,112969.885371602,127073.681053366,89257.1254675181,84373.5603152824,175082.066787263,122310.949329864,153261.591255504,174574.295415237,126633.816338131,263048.009596648,164771.567920363
"A2ALK8","Ptpn3","Tyrosine-protein phosphatase non-receptor type 3",54247.7709127645,48441.4535065885,45641.9527285531,57733.8916979064,44060.6373610524,12236.8534703713,49545.2356379281,48564.8730602702,57994.6730900771,49428.8103072911,77956.3092674481,49688.1246290484,71696.4776183169,75108.4580403484,51009.0508887539,58963.1166083253,82734.6784196774,61637.601891104,63369.956934439,70512.7743834502,80887.962717119,58588.5626601068,80518.632430818,56724.1517753587,87467.6481778144,81654.3130594587,92192.382434223,73463.1298806475,69832.2927419141,87794.8150240978,56622.4907823595,62948.7740154277
