"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P62983","Rps27a","Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin;Ubiquitin-related 1;Ubiquitin-related 2",1589454.28957071,1467313.8210217,1446197.55683659,1913606.09664855,1628635.44605329,1285667.08146242,1437340.70365904,1355224.52206788,1115513.56379511,1156356.15958028,1033903.02580241,1105456.66793016,1289661.69138322,1384633.80733926,1211049.23509749,1437250.90342935,0.0454044605828747,3,200262
"Q3UF64","Rnft2","RING finger and transmembrane domain-containing protein 2",19790.4006219207,14463.7961118225,17517.3177540626,18410.9272077365,18438.7093649504,14942.235525555,18895.170468737,22722.6509251498,12680.2287148713,12985.7515202497,10842.9465558987,11853.8516686518,15342.571569346,14225.4462436267,14206.8433419971,13426.9188699933,0.0454044605828747,5.72,2888
"Q921M7","Fam49b","Protein FAM49B",1617160.07597036,1567565.48233747,1268767.79765388,1356096.79749232,1768684.62679817,1727142.96234151,1695956.71708394,1760120.20430402,1621372.95147685,1654251.4136978,1568868.83797626,1680069.05005875,1620016.26604309,1545443.42818115,1643966.26045725,1569749.56090465,0.0454044605828747,12.61,104037
"Q99LN9","Dohh","Deoxyhypusine hydroxylase",50165.3498090281,49900.8374190716,45569.8316675006,49805.8177220498,64509.1448963391,53806.4026502335,53722.4735418659,58094.6697845242,52318.3622317083,49737.8979808419,50833.8235866803,50852.8724826284,44917.7464603821,47459.7315094775,45856.5487181187,43358.0130889947,0.0454044605828747,10.41,5327
