Experiment ID,22141.0,
Experiment name,Liver digitonin prot log2,
Job,9e336919-5e29-48b2-a126-7133a830f7db,
Submitted,2022-08-22T16:31:46.852642503,Finished,2022-08-22T16:31:52.364037939,
Method,MFourFit,
Params,amp&baseline dtr min-48.0 p(23.0-25.0),


Summary statistics,
Phase/Amplitude method,by fit,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
A2ATU0,1,,23.1,0.0,,18.81,18.81,0.0,18.1,18.1,0.0,,0.07,0.0,,1.0,1.0,
A2AVZ9,1,,23.1,0.0,,19.58,19.58,0.0,18.85,18.85,0.0,,0.06,0.0,,1.0,1.0,
A2AWA9,1,,23.1,0.0,,5.76,5.76,0.0,5.54,5.54,0.0,,0.02,0.0,,1.0,1.0,
A2AWP8,1,,23.1,0.0,,8.89,8.89,0.0,8.56,8.56,0.0,,0.05,0.0,,1.0,1.0,
A2BDX3,1,,23.1,0.0,,4.11,4.11,0.0,3.96,3.96,0.0,,0.06,0.0,,1.0,1.0,
A2BE28,1,,23.1,0.0,,8.42,8.42,0.0,8.1,8.1,0.0,,0.02,0.0,,1.0,1.0,
A2BH40,1,,23.1,0.0,,11.63,11.63,0.0,11.19,11.19,0.0,,0.03,0.0,,1.0,1.0,
A2BIM8,1,,23.1,0.0,,23.77,23.77,0.0,22.88,22.88,0.0,,0.14,0.0,,1.0,1.0,
A2CG49,1,,23.1,0.0,,9.24,9.24,0.0,8.89,8.89,0.0,,0.02,0.0,,1.0,1.0,
A2CG63,1,,23.1,0.0,,21.52,21.52,0.0,20.71,20.71,0.0,,0.31,0.0,,1.0,1.0,
A2RSJ4,1,,23.1,0.0,,12.3,12.3,0.0,11.84,11.84,0.0,,0.04,0.0,,1.0,1.0,
A2RSQ0,1,,23.1,0.0,,11.44,11.44,0.0,11.01,11.01,0.0,,0.03,0.0,,1.0,1.0,
A2RSX7,1,,23.1,0.0,,7.27,7.27,0.0,7.0,7.0,0.0,,0.1,0.0,,1.0,1.0,
A2RSY1,1,,23.1,0.0,,12.9,12.9,0.0,12.42,12.42,0.0,,0.16,0.0,,1.0,1.0,
A2RSY6,1,,23.1,0.0,,23.53,23.53,0.0,22.65,22.65,0.0,,0.15,0.0,,1.0,1.0,
A3KGB4,1,,23.1,0.0,,7.42,7.42,0.0,7.14,7.14,0.0,,0.01,0.0,,1.0,1.0,
A3KGS3,1,,23.1,0.0,,6.74,6.74,0.0,6.49,6.49,0.0,,0.1,0.0,,1.0,1.0,
A3KMP2,1,,23.1,0.0,,15.48,15.48,0.0,14.9,14.9,0.0,,0.01,0.0,,1.0,1.0,
A6H5Y3,1,,23.1,0.0,,10.34,10.34,0.0,9.95,9.95,0.0,,0.15,0.0,,1.0,1.0,
A6H5Z3,1,,23.1,0.0,,22.68,22.68,0.0,21.83,21.83,0.0,,0.07,0.0,,1.0,1.0,
A6H611,1,,23.1,0.0,,16.33,16.33,0.0,15.72,15.72,0.0,,0.01,0.0,,1.0,1.0,
A6H630,1,,23.1,0.0,,1.61,1.61,0.0,1.55,1.55,0.0,,0.1,0.0,,1.0,1.0,
A6H6A9,1,,23.1,0.0,,14.43,14.43,0.0,13.89,13.89,0.0,,0.01,0.0,,1.0,1.0,
A6H8H2,1,,23.1,0.0,,13.64,13.64,0.0,13.13,13.13,0.0,,0.04,0.0,,1.0,1.0,
A6X8Z5,1,,23.1,0.0,,12.25,12.25,0.0,11.79,11.79,0.0,,0.08,0.0,,1.0,1.0,
A6X919,1,,23.1,0.0,,22.29,22.29,0.0,21.45,21.45,0.0,,0.05,0.0,,1.0,1.0,
A6X935,1,,23.1,0.0,,21.46,21.46,0.0,20.66,20.66,0.0,,0.03,0.0,,1.0,1.0,
A7MCT6,1,,23.1,0.0,,19.27,19.27,0.0,18.55,18.55,0.0,,0.06,0.0,,1.0,1.0,
B1AR13,1,,23.1,0.0,,22.12,22.12,0.0,21.29,21.29,0.0,,0.03,0.0,,1.0,1.0,
B1AUE5,1,,23.1,0.0,,22.92,22.92,0.0,22.06,22.06,0.0,,0.05,0.0,,1.0,1.0,
B1AY13,1,,23.1,0.0,,17.39,17.39,0.0,16.74,16.74,0.0,,0.03,0.0,,1.0,1.0,
B1AZI6,1,,23.1,0.0,,18.08,18.08,0.0,17.4,17.4,0.0,,0.04,0.0,,1.0,1.0,
B1AZP2,1,,23.3,0.0,,5.92,5.92,0.0,5.75,5.75,0.0,,0.08,0.0,,0.64,0.64,
B2RQC6,1,,23.1,0.0,,9.42,9.42,0.0,9.07,9.07,0.0,,0.07,0.0,,1.0,1.0,
B2RQE8,1,,23.1,0.0,,3.09,3.09,0.0,2.97,2.97,0.0,,0.03,0.0,,1.0,1.0,
B2RR83,1,,23.1,0.0,,5.35,5.35,0.0,5.15,5.15,0.0,,0.03,0.0,,1.0,1.0,
B2RSH2,1,,23.1,0.0,,11.46,11.46,0.0,11.03,11.03,0.0,,0.23,0.0,,1.0,1.0,
B2RX12,1,,23.1,0.0,,16.61,16.61,0.0,15.99,15.99,0.0,,0.11,0.0,,1.0,1.0,
B2RXC1,1,,23.1,0.0,,3.26,3.26,0.0,3.14,3.14,0.0,,0.02,0.0,,1.0,1.0,
B2RXR6,1,,23.1,0.0,,7.48,7.48,0.0,7.2,7.2,0.0,,0.08,0.0,,1.0,1.0,
B2RXS4,1,,23.1,0.0,,0.18,0.18,0.0,0.17,0.17,0.0,,0.03,0.0,,1.0,1.0,
B2RY56,1,,23.1,0.0,,13.44,13.44,0.0,12.94,12.94,0.0,,0.03,0.0,,1.0,1.0,
B5X0G2,1,,23.1,0.0,,0.62,0.62,0.0,0.6,0.6,0.0,,0.22,0.0,,1.0,1.0,
B7ZMP1,1,,23.1,0.0,,0.44,0.44,0.0,0.42,0.42,0.0,,0.02,0.0,,1.0,1.0,
B8JK39,1,,23.1,0.0,,15.05,15.05,0.0,14.49,14.49,0.0,,0.12,0.0,,1.0,1.0,
B8ZXI1,1,,23.1,0.0,,0.84,0.84,0.0,0.81,0.81,0.0,,0.07,0.0,,1.0,1.0,
B9EJ80,1,,23.1,0.0,,16.56,16.56,0.0,15.94,15.94,0.0,,0.05,0.0,,1.0,1.0,
