Experiment ID,22141.0,
Experiment name,Liver digitonin prot log2,
Job,9e336919-5e29-48b2-a126-7133a830f7db,
Submitted,2022-08-22T16:31:46.852642503,Finished,2022-08-22T16:31:52.364037939,
Method,MFourFit,
Params,amp&baseline dtr min-48.0 p(23.0-25.0),


Summary statistics,
Phase/Amplitude method,by fit,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
P97493,1,,23.1,0.0,,2.51,2.51,0.0,2.42,2.42,0.0,,0.04,0.0,,1.0,1.0,
P97494,1,,23.1,0.0,,12.03,12.03,0.0,11.58,11.58,0.0,,0.06,0.0,,1.0,1.0,
P97499,1,,23.1,0.0,,11.46,11.46,0.0,11.03,11.03,0.0,,0.13,0.0,,1.0,1.0,
P97742,1,,23.1,0.0,,21.02,21.02,0.0,20.23,20.23,0.0,,0.08,0.0,,1.0,1.0,
P97751,1,,23.1,0.0,,21.83,21.83,0.0,21.01,21.01,0.0,,0.17,0.0,,1.0,1.0,
P97760,1,,23.1,0.0,,10.47,10.47,0.0,10.08,10.08,0.0,,0.06,0.0,,1.0,1.0,
P97765,1,,23.1,0.0,,6.64,6.64,0.0,6.39,6.39,0.0,,0.03,0.0,,1.0,1.0,
P97770,1,,23.1,0.0,,13.5,13.5,0.0,12.99,12.99,0.0,,0.01,0.0,,1.0,1.0,
P97784,1,,23.3,0.0,,0.15,0.15,0.0,0.15,0.15,0.0,,0.45,0.0,,0.39,0.39,
P97785,1,,23.52,0.0,,19.76,19.76,0.0,19.36,19.36,0.0,,0.24,0.0,,0.52,0.52,
P97789,1,,23.1,0.0,,12.89,12.89,0.0,12.41,12.41,0.0,,0.13,0.0,,1.0,1.0,
P97792,1,,23.1,0.0,,12.26,12.26,0.0,11.8,11.8,0.0,,0.03,0.0,,1.0,1.0,
P97797,1,,23.1,0.0,,1.17,1.17,0.0,1.13,1.13,0.0,,0.17,0.0,,1.0,1.0,
P97798,1,,23.1,0.0,,2.36,2.36,0.0,2.27,2.27,0.0,,0.03,0.0,,1.0,1.0,
P97807,1,,23.1,0.0,,4.48,4.48,0.0,4.31,4.31,0.0,,0.04,0.0,,1.0,1.0,
P97819,1,,23.1,0.0,,14.04,14.04,0.0,13.51,13.51,0.0,,0.06,0.0,,1.0,1.0,
P97821,1,,23.1,0.0,,7.48,7.48,0.0,7.2,7.2,0.0,,0.05,0.0,,1.0,1.0,
P97822,1,,23.1,0.0,,9.12,9.12,0.0,8.78,8.78,0.0,,0.08,0.0,,1.0,1.0,
P97823,1,,23.1,0.0,,17.08,17.08,0.0,16.44,16.44,0.0,,0.04,0.0,,1.0,1.0,
P97825,1,,23.1,0.0,,7.72,7.72,0.0,7.43,7.43,0.0,,0.16,0.0,,1.0,1.0,
P97855,1,,23.1,0.0,,0.49,0.49,0.0,0.47,0.47,0.0,,0.02,0.0,,1.0,1.0,
P97863,1,,23.1,0.0,,12.98,12.98,0.0,12.49,12.49,0.0,,0.06,0.0,,1.0,1.0,
P97864,1,,23.1,0.0,,1.81,1.81,0.0,1.74,1.74,0.0,,0.03,0.0,,1.0,1.0,
P97865,1,,23.1,0.0,,16.96,16.96,0.0,16.32,16.32,0.0,,0.06,0.0,,1.0,1.0,
P97868,1,,23.1,0.0,,11.09,11.09,0.0,10.67,10.67,0.0,,0.08,0.0,,1.0,1.0,
P97872,1,,23.52,0.0,,23.8,23.8,0.0,23.32,23.32,0.0,,0.1,0.0,,0.72,0.72,
P97927,1,,23.1,0.0,,9.87,9.87,0.0,9.5,9.5,0.0,,0.2,0.0,,1.0,1.0,
P97930,1,,23.1,0.0,,12.97,12.97,0.0,12.48,12.48,0.0,,0.07,0.0,,1.0,1.0,
P98063,1,,23.1,0.0,,1.02,1.02,0.0,0.98,0.98,0.0,,0.23,0.0,,1.0,1.0,
P98064,1,,23.1,0.0,,17.92,17.92,0.0,17.25,17.25,0.0,,0.01,0.0,,1.0,1.0,
P98078,1,,23.3,0.0,,12.84,12.84,0.0,12.47,12.47,0.0,,0.07,0.0,,0.69,0.69,
P98083,1,,23.1,0.0,,9.48,9.48,0.0,9.12,9.12,0.0,,0.07,0.0,,1.0,1.0,
P98086,1,,23.1,0.0,,10.94,10.94,0.0,10.53,10.53,0.0,,0.05,0.0,,1.0,1.0,
P98192,1,,23.1,0.0,,4.08,4.08,0.0,3.93,3.93,0.0,,0.02,0.0,,1.0,1.0,
P98195,1,,23.1,0.0,,12.75,12.75,0.0,12.27,12.27,0.0,,0.05,0.0,,1.0,1.0,
P98203,1,,23.1,0.0,,15.71,15.71,0.0,15.12,15.12,0.0,,0.06,0.0,,1.0,1.0,
P99024,1,,23.1,0.0,,5.97,5.97,0.0,5.75,5.75,0.0,,0.04,0.0,,1.0,1.0,
P99025,1,,23.1,0.0,,13.41,13.41,0.0,12.91,12.91,0.0,,0.05,0.0,,1.0,1.0,
P99026,1,,23.1,0.0,,10.48,10.48,0.0,10.09,10.09,0.0,,0.01,0.0,,1.0,1.0,
P99027,1,,23.1,0.0,,10.26,10.26,0.0,9.88,9.88,0.0,,0.02,0.0,,1.0,1.0,
P99028,1,,23.1,0.0,,13.38,13.38,0.0,12.88,12.88,0.0,,0.09,0.0,,1.0,1.0,
P99029,1,,23.1,0.0,,4.51,4.51,0.0,4.34,4.34,0.0,,0.02,0.0,,1.0,1.0,
Q00262,1,,23.1,0.0,,1.52,1.52,0.0,1.46,1.46,0.0,,0.06,0.0,,1.0,1.0,
Q00422,1,,23.1,0.0,,8.2,8.2,0.0,7.89,7.89,0.0,,0.1,0.0,,1.0,1.0,
Q00519,1,,23.1,0.0,,13.77,13.77,0.0,13.25,13.25,0.0,,0.05,0.0,,1.0,1.0,
Q00558,1,,23.1,0.0,,4.27,4.27,0.0,4.11,4.11,0.0,,0.15,0.0,,1.0,1.0,
Q00560,1,,23.1,0.0,,0.47,0.47,0.0,0.45,0.45,0.0,,0.07,0.0,,1.0,1.0,
Q00612,1,,23.1,0.0,,11.64,11.64,0.0,11.2,11.2,0.0,,0.05,0.0,,1.0,1.0,
Q00623,1,,23.1,0.0,,16.03,16.03,0.0,15.43,15.43,0.0,,0.03,0.0,,1.0,1.0,
Q00724,1,,23.1,0.0,,15.62,15.62,0.0,15.03,15.03,0.0,,0.15,0.0,,1.0,1.0,
Q00897,1,,23.1,0.0,,19.05,19.05,0.0,18.34,18.34,0.0,,0.13,0.0,,1.0,1.0,
Q00898,1,,23.1,0.0,,21.5,21.5,0.0,20.69,20.69,0.0,,0.17,0.0,,1.0,1.0,
Q00915,1,,23.1,0.0,,22.55,22.55,0.0,21.7,21.7,0.0,,0.05,0.0,,1.0,1.0,
Q00977,1,,23.1,0.0,,18.99,18.99,0.0,18.28,18.28,0.0,,0.08,0.0,,1.0,1.0,
Q00PI9,1,,23.1,0.0,,11.51,11.51,0.0,11.08,11.08,0.0,,0.04,0.0,,1.0,1.0,
Q01149,1,,23.1,0.0,,10.67,10.67,0.0,10.27,10.27,0.0,,0.03,0.0,,1.0,1.0,
Q01237,1,,23.3,0.0,,21.49,21.49,0.0,20.86,20.86,0.0,,0.48,0.0,,0.68,0.68,
Q01279,1,,23.1,0.0,,21.13,21.13,0.0,20.34,20.34,0.0,,0.09,0.0,,1.0,1.0,
Q01339,1,,23.1,0.0,,16.34,16.34,0.0,15.73,15.73,0.0,,0.11,0.0,,1.0,1.0,
Q01405,1,,23.1,0.0,,0.29,0.29,0.0,0.28,0.28,0.0,,0.04,0.0,,1.0,1.0,
Q01514,1,,23.1,0.0,,3.1,3.1,0.0,2.98,2.98,0.0,,0.18,0.0,,1.0,1.0,
Q01730,1,,23.1,0.0,,4.61,4.61,0.0,4.44,4.44,0.0,,0.03,0.0,,0.99,0.99,
Q01768,1,,23.1,0.0,,22.29,22.29,0.0,21.45,21.45,0.0,,0.02,0.0,,1.0,1.0,
Q01853,1,,23.1,0.0,,6.95,6.95,0.0,6.69,6.69,0.0,,0.01,0.0,,1.0,1.0,
Q02053,1,,23.1,0.0,,10.97,10.97,0.0,10.56,10.56,0.0,,0.03,0.0,,1.0,1.0,
Q02248,1,,23.1,0.0,,18.6,18.6,0.0,17.9,17.9,0.0,,0.04,0.0,,1.0,1.0,
Q02257,1,,23.1,0.0,,3.27,3.27,0.0,3.15,3.15,0.0,,0.03,0.0,,1.0,1.0,
Q02357,1,,23.1,0.0,,4.6,4.6,0.0,4.43,4.43,0.0,,0.03,0.0,,1.0,1.0,
Q02780,1,,23.1,0.0,,6.09,6.09,0.0,5.86,5.86,0.0,,0.06,0.0,,1.0,1.0,
Q02788,1,,23.1,0.0,,11.74,11.74,0.0,11.3,11.3,0.0,,0.12,0.0,,1.0,1.0,
Q02819,1,,23.1,0.0,,1.76,1.76,0.0,1.69,1.69,0.0,,0.07,0.0,,1.0,1.0,
Q02858,1,,23.1,0.0,,10.39,10.39,0.0,10.0,10.0,0.0,,0.11,0.0,,1.0,1.0,
Q03141,1,,23.1,0.0,,8.21,8.21,0.0,7.9,7.9,0.0,,0.03,0.0,,1.0,1.0,
Q03160,1,,23.1,0.0,,22.77,22.77,0.0,21.92,21.92,0.0,,0.06,0.0,,1.0,1.0,
Q03249,1,,23.1,0.0,,10.84,10.84,0.0,10.43,10.43,0.0,,0.05,0.0,,1.0,1.0,
Q03265,1,,23.1,0.0,,6.95,6.95,0.0,6.69,6.69,0.0,,0.01,0.0,,1.0,1.0,
Q03311,1,,23.1,0.0,,11.53,11.53,0.0,11.1,11.1,0.0,,0.06,0.0,,1.0,1.0,
Q03734,1,,23.1,0.0,,18.45,18.45,0.0,17.76,17.76,0.0,,0.13,0.0,,1.0,1.0,
Q03958,1,,23.1,0.0,,12.03,12.03,0.0,11.58,11.58,0.0,,0.04,0.0,,1.0,1.0,
Q03963,1,,23.1,0.0,,0.18,0.18,0.0,0.17,0.17,0.0,,0.12,0.0,,1.0,1.0,
Q04207,1,,23.1,0.0,,5.8,5.8,0.0,5.58,5.58,0.0,,0.08,0.0,,1.0,1.0,
Q04447,1,,23.1,0.0,,10.59,10.59,0.0,10.19,10.19,0.0,,0.1,0.0,,1.0,1.0,
Q04519,1,,23.1,0.0,,2.0,1.99,0.0,1.92,1.92,0.0,,0.12,0.0,,1.0,1.0,
Q04690,1,,23.1,0.0,,12.32,12.32,0.0,11.86,11.86,0.0,,0.05,0.0,,1.0,1.0,
Q04736,1,,23.1,0.0,,14.68,14.68,0.0,14.13,14.13,0.0,,0.04,0.0,,1.0,1.0,
Q04750,1,,23.1,0.0,,7.92,7.92,0.0,7.62,7.62,0.0,,0.07,0.0,,1.0,1.0,
Q04857,1,,23.1,0.0,,11.64,11.64,0.0,11.2,11.2,0.0,,0.13,0.0,,1.0,1.0,
Q04899,1,,23.1,0.0,,1.74,1.74,0.0,1.68,1.68,0.0,,0.15,0.0,,1.0,1.0,
Q05020,1,,23.1,0.0,,3.29,3.29,0.0,3.17,3.17,0.0,,0.16,0.0,,1.0,1.0,
Q05117,1,,23.1,0.0,,12.48,12.48,0.0,12.01,12.01,0.0,,0.07,0.0,,1.0,1.0,
Q05186,1,,23.1,0.0,,12.22,12.22,0.0,11.76,11.76,0.0,,0.03,0.0,,1.0,1.0,
Q05421,1,,23.02,0.0,,20.79,20.79,0.0,19.94,19.94,0.0,,0.17,0.0,,0.54,0.54,
Q05685,1,,23.1,0.0,,12.23,12.23,0.0,11.77,11.77,0.0,,0.04,0.0,,1.0,1.0,
Q05793,1,,23.1,0.0,,11.76,11.76,0.0,11.32,11.32,0.0,,0.05,0.0,,1.0,1.0,
Q05816,1,,23.1,0.0,,12.2,12.2,0.0,11.74,11.74,0.0,,0.02,0.0,,1.0,1.0,
Q05909,1,,23.1,0.0,,6.54,6.54,0.0,6.29,6.29,0.0,,0.09,0.0,,1.0,1.0,
Q05915,1,,23.3,0.0,,18.55,18.55,0.0,18.01,18.01,0.0,,0.13,0.0,,0.63,0.63,
Q05920,1,,23.1,0.0,,18.18,18.18,0.0,17.5,17.5,0.0,,0.02,0.0,,1.0,1.0,
Q05CL8,1,,23.1,0.0,,10.17,10.17,0.0,9.79,9.79,0.0,,0.07,0.0,,1.0,1.0,
Q05D44,1,,23.1,0.0,,8.51,8.51,0.0,8.19,8.19,0.0,,0.06,0.0,,1.0,1.0,
Q06138,1,,23.1,0.0,,8.94,8.94,0.0,8.6,8.6,0.0,,0.04,0.0,,1.0,1.0,
Q06180,1,,23.1,0.0,,8.08,8.08,0.0,7.78,7.78,0.0,,0.07,0.0,,1.0,1.0,
Q06185,1,,23.1,0.0,,18.36,18.36,0.0,17.67,17.67,0.0,,0.02,0.0,,1.0,1.0,
Q06770,1,,23.08,0.0,,15.38,15.38,0.0,14.79,14.79,0.0,,0.36,0.0,,0.69,0.69,
Q06890,1,,23.1,0.0,,18.79,18.79,0.0,18.09,18.09,0.0,,0.05,0.0,,1.0,1.0,
Q07076,1,,23.1,0.0,,17.05,17.05,0.0,16.41,16.41,0.0,,0.04,0.0,,1.0,1.0,
Q07113,1,,23.1,0.0,,1.89,1.89,0.0,1.82,1.82,0.0,,0.06,0.0,,1.0,1.0,
Q07417,1,,23.1,0.0,,23.37,23.37,0.0,22.49,22.49,0.0,,0.01,0.0,,1.0,1.0,
Q07456,1,,23.1,0.0,,22.62,22.62,0.0,21.77,21.77,0.0,,0.03,0.0,,1.0,1.0,
Q07797,1,,23.1,0.0,,10.93,10.93,0.0,10.52,10.52,0.0,,0.05,0.0,,1.0,1.0,
Q07813,1,,23.1,0.0,,23.43,23.43,0.0,22.55,22.55,0.0,,0.1,0.0,,1.0,1.0,
Q07968,1,,23.1,0.0,,17.06,17.06,0.0,16.42,16.42,0.0,,0.11,0.0,,1.0,1.0,
Q08024,1,,23.1,0.0,,23.63,23.63,0.0,22.74,22.74,0.0,,0.07,0.0,,1.0,1.0,
Q08091,1,,23.52,0.0,,8.54,8.54,0.0,8.37,8.37,0.0,,0.25,0.0,,0.51,0.51,
Q08093,1,,23.1,0.0,,6.69,6.69,0.0,6.44,6.44,0.0,,0.15,0.0,,1.0,1.0,
Q08481,1,,23.1,0.0,,9.72,9.72,0.0,9.36,9.36,0.0,,0.05,0.0,,0.99,0.99,
Q08857,1,,23.1,0.0,,12.79,12.79,0.0,12.31,12.31,0.0,,0.23,0.0,,1.0,1.0,
Q08879,1,,24.22,0.0,,3.63,3.63,0.0,3.66,3.66,0.0,,0.23,0.0,,0.61,0.61,
Q08943,1,,23.1,0.0,,11.8,11.8,0.0,11.36,11.36,0.0,,0.01,0.0,,1.0,1.0,
Q09014,1,,23.1,0.0,,5.6,5.6,0.0,5.39,5.39,0.0,,0.17,0.0,,1.0,1.0,
Q09200,1,,23.1,0.0,,23.59,23.59,0.0,22.71,22.71,0.0,,0.09,0.0,,1.0,1.0,
Q09XV5,1,,23.1,0.0,,11.56,11.56,0.0,11.13,11.13,0.0,,0.18,0.0,,1.0,1.0,
Q0GNC1,1,,23.1,0.0,,0.51,0.51,0.0,0.49,0.49,0.0,,0.09,0.0,,1.0,1.0,
Q0P5W1,1,,23.1,0.0,,20.5,20.5,0.0,19.73,19.73,0.0,,0.04,0.0,,1.0,1.0,
Q0P678,1,,23.1,0.0,,19.89,19.89,0.0,19.14,19.14,0.0,,0.06,0.0,,1.0,1.0,
Q0VBL3,1,,23.1,0.0,,3.48,3.48,0.0,3.35,3.35,0.0,,0.03,0.0,,1.0,1.0,
Q0VGB7,1,,23.1,0.0,,14.64,14.64,0.0,14.09,14.09,0.0,,0.03,0.0,,1.0,1.0,
Q0VGY8,1,,23.1,0.0,,9.54,9.54,0.0,9.18,9.18,0.0,,0.09,0.0,,1.0,1.0,
Q11011,1,,23.1,0.0,,7.26,7.26,0.0,6.99,6.99,0.0,,0.05,0.0,,1.0,1.0,
Q11136,1,,23.1,0.0,,23.11,23.11,0.0,22.24,22.24,0.0,,0.02,0.0,,1.0,1.0,
Q148V7,1,,23.1,0.0,,10.21,10.21,0.0,9.83,9.83,0.0,,0.04,0.0,,1.0,1.0,
Q148V8,1,,23.1,0.0,,3.0,3.0,0.0,2.89,2.89,0.0,,0.04,0.0,,1.0,1.0,
Q148W0,1,,23.1,0.0,,17.79,17.79,0.0,17.12,17.12,0.0,,0.05,0.0,,1.0,1.0,
Q149L6,1,,23.1,0.0,,22.73,22.73,0.0,21.88,21.88,0.0,,0.09,0.0,,1.0,1.0,
Q14AI6,1,,23.1,0.0,,3.84,3.84,0.0,3.7,3.7,0.0,,0.05,0.0,,1.0,1.0,
Q14AX6,1,,23.1,0.0,,4.4,4.41,0.0,4.24,4.24,0.0,,0.23,0.0,,1.0,1.0,
Q14C51,1,,23.1,0.0,,13.64,13.64,0.0,13.13,13.13,0.0,,0.03,0.0,,1.0,1.0,
Q14CH1,1,,23.1,0.0,,8.93,8.94,0.0,8.59,8.59,0.0,,0.04,0.0,,1.0,1.0,
Q14CH7,1,,23.1,0.0,,11.85,11.85,0.0,11.41,11.41,0.0,,0.05,0.0,,1.0,1.0,
Q14DH7,1,,23.1,0.0,,15.24,15.24,0.0,14.67,14.67,0.0,,0.18,0.0,,1.0,1.0,
Q1ERP8,1,,23.1,0.0,,3.28,3.28,0.0,3.16,3.16,0.0,,0.09,0.0,,1.0,1.0,
Q1HFZ0,1,,23.1,0.0,,5.38,5.38,0.0,5.18,5.18,0.0,,0.01,0.0,,1.0,1.0,
Q283N4,1,,23.1,0.0,,21.65,21.65,0.0,20.84,20.84,0.0,,0.04,0.0,,1.0,1.0,
Q2EMV9,1,,23.1,0.0,,4.27,4.27,0.0,4.11,4.11,0.0,,0.04,0.0,,1.0,1.0,
Q2HXL6,1,,23.1,0.0,,4.04,4.04,0.0,3.89,3.89,0.0,,0.05,0.0,,1.0,1.0,
Q2KN98,1,,23.1,0.0,,11.47,11.47,0.0,11.04,11.04,0.0,,0.02,0.0,,1.0,1.0,
Q91VK1,1,,23.1,0.0,,21.81,21.81,0.0,20.99,20.99,0.0,,0.03,0.0,,1.0,1.0,
Q2NL51,1,,23.1,0.0,,16.83,16.83,0.0,16.2,16.2,0.0,,0.08,0.0,,1.0,1.0,
Q2PFD7,1,,23.1,0.0,,4.2,4.2,0.0,4.04,4.04,0.0,,0.23,0.0,,1.0,1.0,
Q2TBA3,1,,23.1,0.0,,12.21,12.21,0.0,11.75,11.75,0.0,,0.17,0.0,,1.0,1.0,
Q2TBE6,1,,23.1,0.0,,3.78,3.78,0.0,3.64,3.64,0.0,,0.04,0.0,,1.0,1.0,
Q2TPA8,1,,23.1,0.0,,10.64,10.64,0.0,10.24,10.24,0.0,,0.0,0.0,,1.0,1.0,
Q2VLH6,1,,23.1,0.0,,3.77,3.77,0.0,3.63,3.63,0.0,,0.18,0.0,,1.0,1.0,
Q2VPQ9,1,,23.1,0.0,,12.27,12.27,0.0,11.81,11.81,0.0,,0.15,0.0,,1.0,1.0,
Q2YDW2,1,,23.1,0.0,,6.77,6.77,0.0,6.52,6.52,0.0,,0.14,0.0,,1.0,1.0,
Q33DR2,1,,23.1,0.0,,0.94,0.94,0.0,0.9,0.9,0.0,,0.22,0.0,,1.0,1.0,
Q33DR3,1,,23.1,0.0,,9.71,9.71,0.0,9.35,9.35,0.0,,0.08,0.0,,1.0,1.0,
Q3B7Z2,1,,23.1,0.0,,10.48,10.48,0.0,10.09,10.09,0.0,,0.01,0.0,,1.0,1.0,
Q3KNM2,1,,23.1,0.0,,15.57,15.57,0.0,14.99,14.99,0.0,,0.08,0.0,,1.0,1.0,
Q3SXB8,1,,23.1,0.0,,2.68,2.68,0.0,2.58,2.58,0.0,,0.08,0.0,,1.0,1.0,
Q3T9X0,1,,23.1,0.0,,19.36,19.36,0.0,18.63,18.63,0.0,,0.07,0.0,,1.0,1.0,
Q3TA38,1,,23.1,0.0,,4.6,4.6,0.0,4.43,4.43,0.0,,0.04,0.0,,1.0,1.0,
Q3TAE8,1,,23.1,0.0,,5.42,5.42,0.0,5.22,5.22,0.0,,0.05,0.0,,1.0,1.0,
Q3TAP4,1,,23.1,0.0,,14.62,14.62,0.0,14.07,14.07,0.0,,0.14,0.0,,1.0,1.0,
Q3TAS6,1,,23.1,0.0,,12.26,12.26,0.0,11.8,11.8,0.0,,0.05,0.0,,1.0,1.0,
Q3TB82,1,,23.1,0.0,,7.46,7.46,0.0,7.18,7.18,0.0,,0.05,0.0,,1.0,1.0,
Q3TBD2,1,,23.1,0.0,,5.07,5.07,0.0,4.88,4.88,0.0,,0.07,0.0,,1.0,1.0,
Q3TBL6,1,,23.1,0.0,,13.85,13.85,0.0,13.33,13.33,0.0,,0.21,0.0,,1.0,1.0,
Q3TBT3,1,,23.1,0.0,,7.78,7.78,0.0,7.49,7.49,0.0,,0.12,0.0,,1.0,1.0,
Q3TBW2,1,,23.1,0.0,,9.01,9.01,0.0,8.67,8.67,0.0,,0.01,0.0,,1.0,1.0,
Q3TC33,1,,23.1,0.0,,5.13,5.13,0.0,4.94,4.94,0.0,,0.05,0.0,,1.0,1.0,
Q3TC72,1,,23.1,0.0,,13.3,13.3,0.0,12.8,12.8,0.0,,0.05,0.0,,1.0,1.0,
Q3TC93,1,,23.1,0.0,,12.29,12.29,0.0,11.83,11.83,0.0,,0.05,0.0,,1.0,1.0,
Q3TCH7,1,,23.1,0.0,,17.64,17.64,0.0,16.98,16.98,0.0,,0.01,0.0,,1.0,1.0,
Q3TCJ1,1,,23.1,0.0,,10.04,10.04,0.0,9.66,9.66,0.0,,0.0,0.0,,1.0,1.0,
Q3TCN2,1,,23.1,0.0,,15.88,15.88,0.0,15.28,15.28,0.0,,0.07,0.0,,1.0,1.0,
Q3TDD9,1,,23.1,0.0,,4.3,4.3,0.0,4.14,4.14,0.0,,0.05,0.0,,1.0,1.0,
Q3TDK6,1,,23.1,0.0,,5.38,5.38,0.0,5.18,5.18,0.0,,0.09,0.0,,1.0,1.0,
Q3TDN2,1,,23.1,0.0,,11.02,11.02,0.0,10.61,10.61,0.0,,0.03,0.0,,1.0,1.0,
Q3TDQ1,1,,23.1,0.0,,6.63,6.63,0.0,6.38,6.38,0.0,,0.02,0.0,,1.0,1.0,
Q3TDX8,1,,23.1,0.0,,6.83,6.83,0.0,6.57,6.57,0.0,,0.07,0.0,,1.0,1.0,
Q3TEA8,1,,23.1,0.0,,3.69,3.69,0.0,3.55,3.55,0.0,,0.1,0.0,,1.0,1.0,
Q3TFQ1,1,,23.1,0.0,,1.56,1.56,0.0,1.5,1.5,0.0,,0.07,0.0,,1.0,1.0,
Q3TGF2,1,,23.1,0.0,,19.35,19.35,0.0,18.62,18.62,0.0,,0.06,0.0,,1.0,1.0,
Q3TGW2,1,,23.1,0.0,,16.99,16.99,0.0,16.35,16.35,0.0,,0.05,0.0,,1.0,1.0,
Q3TH73,1,,23.1,0.0,,22.79,22.79,0.0,21.94,21.94,0.0,,0.06,0.0,,1.0,1.0,
Q3THE2,1,,23.1,0.0,,4.03,4.03,0.0,3.88,3.88,0.0,,0.03,0.0,,1.0,1.0,
Q3THF9,1,,23.08,0.0,,14.49,14.49,0.0,13.93,13.93,0.0,,0.27,0.0,,0.64,0.64,
Q3THG9,1,,23.1,0.0,,19.5,19.5,0.0,18.77,18.77,0.0,,0.04,0.0,,1.0,1.0,
Q3THK3,1,,23.1,0.0,,17.15,17.15,0.0,16.51,16.51,0.0,,0.14,0.0,,1.0,1.0,
Q3THK7,1,,23.1,0.0,,20.1,20.1,0.0,19.35,19.35,0.0,,0.02,0.0,,1.0,1.0,
Q3THS6,1,,23.1,0.0,,14.56,14.56,0.0,14.01,14.01,0.0,,0.04,0.0,,1.0,1.0,
Q3TIR3,1,,23.1,0.0,,22.37,22.37,0.0,21.53,21.53,0.0,,0.09,0.0,,1.0,1.0,
Q3TIU4,1,,23.1,0.0,,6.11,6.11,0.0,5.88,5.88,0.0,,0.06,0.0,,1.0,1.0,
Q3TIV5,1,,23.1,0.0,,15.19,15.19,0.0,14.62,14.62,0.0,,0.03,0.0,,1.0,1.0,
Q3TIX9,1,,23.1,0.0,,7.19,7.19,0.0,6.92,6.92,0.0,,0.03,0.0,,1.0,1.0,
Q3TJ91,1,,23.1,0.0,,7.5,7.5,0.0,7.22,7.22,0.0,,0.04,0.0,,1.0,1.0,
Q3TJZ6,1,,23.1,0.0,,4.52,4.52,0.0,4.35,4.35,0.0,,0.03,0.0,,1.0,1.0,
Q3TKT4,1,,23.1,0.0,,5.74,5.74,0.0,5.53,5.53,0.0,,0.04,0.0,,1.0,1.0,
Q3TKY6,1,,23.1,0.0,,9.41,9.41,0.0,9.06,9.06,0.0,,0.09,0.0,,1.0,1.0,
Q3TL44,1,,23.1,0.0,,17.98,17.98,0.0,17.31,17.31,0.0,,0.02,0.0,,1.0,1.0,
Q3TLH4,1,,23.1,0.0,,4.72,4.72,0.0,4.54,4.54,0.0,,0.04,0.0,,1.0,1.0,
Q3TLI0,1,,23.1,0.0,,8.02,8.02,0.0,7.72,7.72,0.0,,0.06,0.0,,1.0,1.0,
Q3TLP5,1,,23.1,0.0,,23.27,23.27,0.0,22.4,22.4,0.0,,0.03,0.0,,1.0,1.0,
Q3TLS3,1,,23.1,0.0,,9.44,9.44,0.0,9.09,9.09,0.0,,0.03,0.0,,1.0,1.0,
Q3TMH2,1,,23.1,0.0,,18.99,18.99,0.0,18.28,18.28,0.0,,0.03,0.0,,1.0,1.0,
Q3TN34,1,,23.1,0.0,,10.82,10.82,0.0,10.41,10.41,0.0,,0.17,0.0,,1.0,1.0,
Q3TNA1,1,,23.1,0.0,,17.52,17.52,0.0,16.86,16.86,0.0,,0.05,0.0,,1.0,1.0,
Q3TPX4,1,,23.1,0.0,,20.26,20.26,0.0,19.5,19.5,0.0,,0.01,0.0,,1.0,1.0,
Q3TQB2,1,,23.1,0.0,,11.96,11.96,0.0,11.51,11.51,0.0,,0.06,0.0,,1.0,1.0,
Q3TRM4,1,,23.1,0.0,,7.49,7.49,0.0,7.21,7.21,0.0,,0.04,0.0,,1.0,1.0,
Q3TRM8,1,,23.1,0.0,,3.77,3.77,0.0,3.63,3.63,0.0,,0.04,0.0,,1.0,1.0,
Q3TT38,1,,23.1,0.0,,23.71,23.71,0.0,22.82,22.82,0.0,,0.06,0.0,,1.0,1.0,
Q3TUH1,1,,23.1,0.0,,16.42,16.42,0.0,15.8,15.8,0.0,,0.06,0.0,,1.0,1.0,
Q3TW96,1,,23.1,0.0,,8.33,8.33,0.0,8.02,8.02,0.0,,0.08,0.0,,1.0,1.0,
Q3TWW8,1,,23.1,0.0,,21.62,21.62,0.0,20.81,20.81,0.0,,0.05,0.0,,1.0,1.0,
Q3TX08,1,,23.1,0.0,,23.85,23.85,0.0,22.96,22.96,0.0,,0.05,0.0,,1.0,1.0,
Q3TXS7,1,,23.1,0.0,,1.95,1.95,0.0,1.88,1.88,0.0,,0.03,0.0,,1.0,1.0,
Q3TYA6,1,,23.1,0.0,,6.75,6.75,0.0,6.5,6.5,0.0,,0.07,0.0,,1.0,1.0,
Q3TYD4,1,,23.1,0.0,,11.46,11.46,0.0,11.03,11.03,0.0,,0.16,0.0,,1.0,1.0,
Q3TZM9,1,,23.1,0.0,,12.24,12.24,0.0,11.78,11.78,0.0,,0.04,0.0,,1.0,1.0,
Q3TZX8,1,,23.1,0.0,,0.94,0.94,0.0,0.9,0.9,0.0,,0.16,0.0,,1.0,1.0,
Q3TZZ7,1,,23.1,0.0,,10.62,10.62,0.0,10.22,10.22,0.0,,0.03,0.0,,1.0,1.0,
Q3U0B3,1,,23.1,0.0,,22.64,22.64,0.0,21.79,21.79,0.0,,0.0,0.0,,1.0,1.0,
