Experiment ID,22047.0,
Experiment name,Liver digitonin ,
Job,142cac7e-28e9-41ae-9c4f-cb9f2d1f8d5c,
Method,BD2 eJTK,
Submitted,2022-08-22T15:34:18.601947980,Finished,2022-08-22T15:34:19.712018939,
NULL_SIZE,100000,
DW_END,24.0,
PERIOD_MIN,24.0,
DATA_SET_ID,22047_NO_DTR,
PERIOD_MAX,24.0,
DW_START,0.0,
PRESET,EJTK_CLASSIC,
METHOD,BD2EJTK,
DATA_SET_TYPE_NAME,no dtr,
PARAMS_SUMMARY,no dtr min-24.0 p(24.0),
DATA_SET_TYPE,NO_DTR,


Individual Results,

Data Id,Data Label,,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p,
1,A0JNU3,,0.4472135954999582,0.12501874981250188,0.8844953337588832,ACOS,24.0,14.0,22.0,14.0,22.0,24.0,0.67,,0.007842546279573382,0.05548524200949158,0.6117186098067239,1.0,
2,A1A5B6,,0.46584749531245645,0.0937690623093769,0.7900667159212601,COS,24.0,2.0,14.0,2.0,14.0,24.0,0.5,,0.005920711107451196,0.04988592895542604,0.4618154663811933,1.0,
3,A1IGU4,,0.16770509831248434,0.8437615623843762,0.9847242960466459,ACOS,24.0,22.0,20.0,22.0,20.0,24.0,0.08,,0.1824518756760124,0.21742383768031226,14.231246302728968,1.0,
4,A2A432,,0.24224069756247738,0.6250137498625014,0.9847242960466459,ACOS,24.0,8.0,22.0,8.0,22.0,24.0,0.42,,0.0953088004769263,0.15267556732156237,7.434086437200252,1.0,
5,A2A4P0,,0.18633899812498259,0.8125118748812512,0.9847242960466459,ACOS,24.0,2.0,2.0,2.0,2.0,24.0,0.0,,0.15703129585716225,0.19781387386405277,12.248441076858654,1.0,
6,A2A5R2,,0.4472135954999582,0.12501874981250188,0.8844953337588832,ACOS,24.0,14.0,8.0,14.0,8.0,24.0,0.25,,0.007842546279573382,0.05548524200949158,0.6117186098067239,1.0,
7,A2A6A1,,0.3913118960624634,0.21876781232187678,0.9182088806669916,ACOS,24.0,8.0,10.0,8.0,10.0,24.0,0.92,,0.017251591034782986,0.07319351152976485,1.345624100713073,1.0,
8,A2A6Q5,,0.14907119849998607,0.8750112498875011,0.9847242960466459,ACOS,24.0,2.0,8.0,2.0,8.0,24.0,0.75,,0.21029812498078254,0.2383673905045333,16.403253748501037,1.0,
9,A2A8L5,,0.24224069756247738,0.6250137498625014,0.9847242960466459,ACOS,24.0,16.0,16.0,16.0,16.0,24.0,0.0,,0.0953088004769263,0.15267556732156237,7.434086437200252,1.0,
10,A2A8U2,,0.2236067977499791,0.6875131248687513,0.9847242960466459,ACOS,24.0,16.0,16.0,16.0,16.0,24.0,0.0,,0.11350807917025535,0.16566210307743423,8.853630175279918,1.0,
11,A2A8Z1,,0.24224069756247738,0.6250137498625014,0.9847242960466459,ACOS,24.0,8.0,8.0,8.0,8.0,24.0,0.0,,0.0953088004769263,0.15267556732156237,7.434086437200252,1.0,
12,A2A974,,0.2795084971874739,0.5000149998500015,0.9771618000698395,ACOS,24.0,16.0,16.0,16.0,16.0,24.0,0.0,,0.06550881647134288,0.1280215854380073,5.1096876847647446,1.0,
13,A2AAE1,,0.4099457958749617,0.18751812481875182,0.9182088806669916,COS,24.0,14.0,2.0,14.0,2.0,24.0,0.5,,0.013386385243419103,0.06698168973101158,1.04413804898669,1.0,
